epoch,train_loss,train_wf1,dev_loss,dev_wf1,dev_uf1,test_loss,test_wf1,test_uf1
0,1.922657,0.181660,1.690334,0.146114,0.094225,1.706791,0.156314,0.110624
1,1.749446,0.225476,1.600630,0.168885,0.159546,1.626579,0.190849,0.173063
2,1.589285,0.301037,1.585824,0.212080,0.186609,1.673684,0.190801,0.158305
3,1.530477,0.335158,1.461611,0.311543,0.312370,1.475973,0.294462,0.297687
4,1.419856,0.392830,1.267238,0.368436,0.342350,1.336071,0.420600,0.395300
5,1.284910,0.451911,1.214011,0.497944,0.457438,1.244848,0.482138,0.461910
6,0.914943,0.472473,0.904597,0.463143,0.435763,0.986497,0.451166,0.427353
7,0.619793,0.503020,0.605413,0.514740,0.475540,0.640204,0.499048,0.473830
8,0.391647,0.525567,0.363835,0.556989,0.513794,0.390297,0.538227,0.510654
9,0.199446,0.562743,0.205778,0.567563,0.534679,0.229663,0.548456,0.528549
10,0.080537,0.553908,0.087211,0.554434,0.529421,0.105904,0.493819,0.483641
11,0.074469,0.591390,0.084537,0.573693,0.538322,0.099831,0.515059,0.501495
12,0.069911,0.606504,0.085753,0.550477,0.527398,0.102870,0.488844,0.485632
13,0.067343,0.589623,0.084170,0.593299,0.553970,0.097358,0.526906,0.510427
14,0.068231,0.608221,0.095107,0.524583,0.502140,0.116761,0.427190,0.434654
15,0.065781,0.618161,0.084673,0.555837,0.533808,0.101579,0.476917,0.477799
16,0.062597,0.617246,0.079944,0.595027,0.564117,0.101357,0.508221,0.500548
17,0.061595,0.640631,0.081422,0.593837,0.564756,0.093501,0.522816,0.516346
18,0.061011,0.629687,0.083010,0.561715,0.538296,0.102363,0.463928,0.466636
19,0.059400,0.625215,0.078637,0.586072,0.555474,0.106617,0.467470,0.467496
20,0.058594,0.641290,0.084360,0.552606,0.533281,0.111903,0.448841,0.456081
21,0.061736,0.624327,0.081269,0.593141,0.559048,0.105166,0.506405,0.498008
22,0.059224,0.648961,0.087808,0.550923,0.545011,0.105640,0.491615,0.485250
23,0.058026,0.638473,0.083394,0.590255,0.569391,0.103000,0.508659,0.503057
24,0.051216,0.655362,0.084986,0.598426,0.569859,0.108051,0.499445,0.494081
