epoch,train_loss,train_wf1,dev_loss,dev_wf1,dev_uf1,test_loss,test_wf1,test_uf1
0,1.808109,0.203254,1.755340,0.140650,0.128296,1.737815,0.148610,0.114127
1,1.641934,0.263454,1.599858,0.260712,0.197382,1.542691,0.286917,0.237530
2,1.486357,0.354699,1.391890,0.409387,0.360917,1.486068,0.417173,0.393243
3,1.353484,0.451433,1.378180,0.416928,0.391289,1.337913,0.457892,0.429709
4,1.245232,0.504526,1.330711,0.429914,0.401986,1.261293,0.481606,0.446951
5,1.163001,0.536194,1.318536,0.421919,0.411270,1.531417,0.383405,0.354000
6,0.840094,0.532678,0.877106,0.486712,0.461494,0.958602,0.458399,0.421901
7,0.536108,0.572956,0.615055,0.514839,0.498419,0.560328,0.563030,0.535472
8,0.347084,0.575259,0.406529,0.520847,0.502623,0.386298,0.550104,0.511125
9,0.191041,0.603404,0.220116,0.535728,0.524174,0.229237,0.524670,0.511563
10,0.069982,0.609913,0.089435,0.527636,0.546271,0.099333,0.526087,0.510528
11,0.067418,0.603294,0.089058,0.577649,0.566310,0.120170,0.509001,0.493444
12,0.062369,0.615480,0.081702,0.569299,0.572933,0.106655,0.542382,0.518255
13,0.059614,0.636661,0.083653,0.568960,0.561855,0.108842,0.519915,0.505533
14,0.058181,0.647844,0.078429,0.585075,0.581689,0.107901,0.529207,0.511613
15,0.055637,0.641999,0.082068,0.582150,0.577219,0.119449,0.512336,0.492253
16,0.053464,0.663219,0.076096,0.589082,0.578295,0.103468,0.531851,0.515141
17,0.053655,0.675608,0.079317,0.542045,0.542107,0.093603,0.527764,0.515814
18,0.051885,0.664541,0.079350,0.558903,0.555597,0.099495,0.528119,0.514739
19,0.052287,0.671453,0.077197,0.565061,0.556314,0.092821,0.535406,0.524882
20,0.052091,0.659800,0.094977,0.506040,0.502957,0.093280,0.526069,0.512016
21,0.056303,0.649987,0.077396,0.565305,0.560542,0.121423,0.523936,0.507141
22,0.049849,0.673295,0.072657,0.590186,0.582699,0.105501,0.517450,0.505750
23,0.048011,0.685844,0.075796,0.591176,0.580670,0.100940,0.524389,0.512335
24,0.046235,0.686498,0.074456,0.591660,0.582325,0.102920,0.551471,0.535559
