epoch,train_loss,train_wf1,dev_loss,dev_wf1,dev_uf1,test_loss,test_wf1,test_uf1
0,1.839209,0.206842,1.779966,0.176124,0.145589,1.721043,0.185759,0.149711
1,1.624779,0.297742,1.574577,0.284760,0.315773,1.435723,0.342488,0.347184
2,1.419807,0.407389,1.351918,0.417449,0.390156,1.366175,0.410142,0.381129
3,1.263346,0.484395,1.302315,0.460571,0.427575,1.242860,0.501606,0.457662
4,1.178170,0.521589,1.268740,0.466537,0.440501,1.192070,0.525072,0.478460
5,1.104661,0.560939,1.285617,0.436610,0.432571,1.290773,0.465476,0.446265
6,0.783334,0.569418,0.866309,0.484404,0.467315,0.825282,0.544499,0.501281
7,0.509939,0.593555,0.537842,0.526628,0.528494,0.524217,0.566319,0.547986
8,0.302660,0.620586,0.381879,0.515698,0.502377,0.357368,0.547449,0.515031
9,0.173880,0.629425,0.205044,0.552148,0.548752,0.214404,0.554768,0.543498
10,0.068811,0.597222,0.086020,0.515654,0.520618,0.085784,0.529276,0.525003
11,0.063168,0.625282,0.084424,0.579934,0.573407,0.095487,0.584253,0.562737
12,0.059585,0.635855,0.074282,0.556211,0.558949,0.076088,0.562780,0.547857
13,0.052770,0.665083,0.072159,0.581271,0.578392,0.080176,0.558594,0.545724
14,0.048717,0.685079,0.073658,0.561793,0.558370,0.077662,0.561657,0.548693
15,0.047955,0.676405,0.078163,0.589465,0.585844,0.081414,0.577659,0.561174
16,0.045226,0.695897,0.081344,0.579777,0.575845,0.081938,0.581157,0.566641
17,0.046977,0.695047,0.084789,0.569773,0.564095,0.084602,0.584615,0.569700
18,0.043900,0.700569,0.074522,0.571045,0.571167,0.079632,0.576498,0.562332
19,0.041056,0.707073,0.079833,0.564907,0.560823,0.082293,0.561343,0.551680
20,0.041697,0.707136,0.091644,0.510874,0.488592,0.092822,0.509513,0.498872
21,0.048634,0.675562,0.087023,0.564430,0.564206,0.084110,0.580673,0.565889
22,0.042610,0.700986,0.083851,0.563935,0.552208,0.082044,0.563662,0.554985
23,0.041743,0.695151,0.082940,0.577243,0.568976,0.078162,0.604093,0.586234
24,0.037405,0.719980,0.078496,0.573131,0.575954,0.080661,0.583509,0.570338
