epoch,train_loss,train_wf1,dev_loss,dev_wf1,dev_uf1,test_loss,test_wf1,test_uf1
0,1.899577,0.208566,1.786215,0.094690,0.113532,1.774881,0.128708,0.127306
1,1.769019,0.217541,1.547282,0.228134,0.200538,1.555455,0.271450,0.226065
2,1.592677,0.301890,1.633489,0.169433,0.151789,1.766806,0.169617,0.143833
3,1.550940,0.303047,1.429909,0.367164,0.341341,1.374724,0.409852,0.369264
4,1.416701,0.385424,1.382033,0.421045,0.374659,1.355686,0.429273,0.381605
5,1.357409,0.409294,1.288661,0.483715,0.443047,1.250888,0.516177,0.480584
6,0.886734,0.507808,1.018712,0.456705,0.437815,0.986067,0.464869,0.464665
7,0.583657,0.543446,0.673366,0.478008,0.438566,0.645728,0.532602,0.496084
8,0.360105,0.569861,0.413788,0.514032,0.466458,0.385904,0.559849,0.524596
9,0.196627,0.595713,0.250973,0.522533,0.508650,0.214345,0.564134,0.555157
10,0.077869,0.564611,0.108673,0.495339,0.489126,0.099884,0.539149,0.534333
11,0.070010,0.617543,0.102586,0.539267,0.505842,0.093699,0.568595,0.545092
12,0.066362,0.631136,0.101828,0.533483,0.524581,0.092273,0.563765,0.554184
13,0.062065,0.633065,0.100369,0.543340,0.519277,0.105102,0.531662,0.520503
14,0.061826,0.638941,0.100267,0.542779,0.536975,0.089606,0.566864,0.558678
15,0.059748,0.635704,0.105571,0.565303,0.545375,0.086962,0.589835,0.573379
16,0.058768,0.658921,0.109885,0.559710,0.557664,0.090011,0.583510,0.570273
17,0.059889,0.640641,0.096368,0.585183,0.580469,0.092479,0.577194,0.567017
18,0.054396,0.669600,0.094514,0.552728,0.549604,0.100355,0.544437,0.538409
19,0.052388,0.676293,0.099921,0.519972,0.531370,0.091769,0.527320,0.521334
20,0.050673,0.697212,0.097207,0.540640,0.531446,0.097859,0.544037,0.540326
21,0.049670,0.685051,0.097005,0.553162,0.546689,0.092322,0.550974,0.543245
22,0.048936,0.676013,0.096394,0.565379,0.560941,0.087391,0.562937,0.554753
23,0.046299,0.698050,0.099217,0.562515,0.558316,0.091505,0.557275,0.550366
24,0.044430,0.709805,0.091611,0.582089,0.590209,0.087443,0.563298,0.553764
