epoch,train_loss,train_wf1,dev_loss,dev_wf1,dev_uf1,test_loss,test_wf1,test_uf1
0,1.896975,0.181659,1.734912,0.123206,0.095792,1.775241,0.146684,0.104406
1,1.794828,0.186017,1.741303,0.095351,0.065269,1.759040,0.089361,0.063405
2,1.782708,0.193551,1.742875,0.097444,0.066830,1.743843,0.089361,0.063405
3,1.762979,0.184341,1.735411,0.144138,0.101555,1.766426,0.089361,0.063405
4,1.760896,0.206278,1.726111,0.147797,0.104302,1.749363,0.100400,0.071181
5,1.746752,0.199948,1.720537,0.163704,0.116820,1.743151,0.157589,0.111448
6,1.346202,0.191924,1.326231,0.167818,0.119950,1.339807,0.142552,0.103711
7,0.982052,0.205911,0.969809,0.179079,0.132895,0.995466,0.149405,0.135059
8,0.681393,0.224692,0.664996,0.205064,0.153027,0.693994,0.165547,0.154790
9,0.411528,0.223854,0.396136,0.227025,0.170056,0.427086,0.173791,0.157330
10,0.182040,0.247920,0.175432,0.243905,0.215629,0.199593,0.174248,0.166114
11,0.173881,0.248811,0.175570,0.248413,0.213674,0.187339,0.205254,0.196636
12,0.171404,0.249875,0.166406,0.279729,0.257024,0.191731,0.147315,0.148996
13,0.168137,0.239771,0.170984,0.212515,0.204327,0.188706,0.172011,0.178672
14,0.165212,0.247604,0.163797,0.291224,0.270993,0.183447,0.221380,0.220941
15,0.160392,0.281832,0.157431,0.278001,0.254551,0.192502,0.166472,0.174195
16,0.157721,0.296212,0.156161,0.286535,0.278336,0.190796,0.172094,0.180417
17,0.157959,0.272033,0.153315,0.282011,0.285342,0.190602,0.171299,0.180909
18,0.151084,0.293273,0.151503,0.282138,0.266033,0.194605,0.198457,0.205052
19,0.150113,0.321359,0.167696,0.279503,0.270503,0.186885,0.218729,0.228974
20,0.152975,0.283820,0.156583,0.271927,0.254057,0.200269,0.167710,0.169968
21,0.149591,0.337834,0.162805,0.297392,0.282126,0.184048,0.226959,0.234303
22,0.150913,0.322301,0.149826,0.326632,0.313790,0.185657,0.179554,0.183260
23,0.146704,0.326551,0.145926,0.321420,0.308139,0.189709,0.220680,0.218257
24,0.149207,0.321479,0.162211,0.276712,0.277242,0.176884,0.255551,0.265792
