epoch,train_loss,train_wf1,dev_loss,dev_wf1,dev_uf1,test_loss,test_wf1,test_uf1
0,1.832072,0.188405,1.824549,0.176608,0.115476,1.763750,0.156186,0.111323
1,1.768096,0.210464,1.795652,0.108830,0.093704,1.746709,0.161949,0.134409
2,1.760583,0.199391,1.745262,0.212305,0.156219,1.725740,0.169430,0.136008
3,1.750305,0.190584,1.742620,0.195895,0.147064,1.736837,0.177184,0.147105
4,1.727693,0.218521,1.768853,0.079922,0.077394,1.739914,0.120313,0.103268
5,1.711600,0.221397,1.732202,0.184355,0.135038,1.727399,0.176474,0.148224
6,1.292974,0.253259,1.305368,0.190597,0.156736,1.323164,0.199049,0.183043
7,0.933148,0.256834,0.945032,0.246391,0.200070,0.972890,0.201078,0.180556
8,0.633437,0.294467,0.621156,0.322863,0.286426,0.637850,0.263818,0.242069
9,0.378529,0.279240,0.382362,0.345970,0.304431,0.386452,0.268909,0.251735
10,0.156397,0.292433,0.160166,0.296268,0.281362,0.160679,0.290899,0.269641
11,0.149570,0.304293,0.151338,0.294207,0.289464,0.155511,0.304424,0.291064
12,0.151088,0.292453,0.157274,0.306055,0.298685,0.164828,0.279744,0.260764
13,0.145474,0.296579,0.146980,0.323807,0.315879,0.157238,0.303979,0.294795
14,0.143788,0.321292,0.148164,0.365367,0.345533,0.153914,0.321389,0.303208
15,0.139744,0.321196,0.146901,0.358797,0.345868,0.153345,0.340297,0.326109
16,0.141961,0.318796,0.136168,0.335875,0.324233,0.153391,0.286509,0.275772
17,0.136229,0.319556,0.153309,0.377783,0.364615,0.156704,0.305573,0.289259
18,0.138645,0.323279,0.138363,0.369782,0.345477,0.147519,0.332619,0.316986
19,0.130984,0.341507,0.143022,0.375796,0.369294,0.150309,0.321177,0.305904
20,0.132125,0.346543,0.134066,0.333178,0.327677,0.148193,0.301865,0.291963
21,0.125460,0.366836,0.149528,0.369591,0.372846,0.152944,0.257773,0.247004
22,0.126572,0.358346,0.139484,0.388109,0.388521,0.149923,0.266562,0.265216
23,0.131943,0.353705,0.143484,0.373073,0.344582,0.141524,0.354694,0.334198
24,0.120548,0.387338,0.125945,0.400540,0.401402,0.145410,0.280419,0.268889
