epoch,train_loss,train_wf1,dev_loss,dev_wf1,dev_uf1,test_loss,test_wf1,test_uf1
0,1.875540,0.168625,1.746145,0.131914,0.092548,1.778206,0.086360,0.075380
1,1.808251,0.197080,1.737729,0.103196,0.074904,1.774233,0.104674,0.085148
2,1.779742,0.194782,1.697749,0.169242,0.111426,1.734827,0.154123,0.108969
3,1.749023,0.200712,1.700083,0.136630,0.092277,1.732349,0.152922,0.112461
4,1.731644,0.217956,1.699263,0.168724,0.125425,1.742132,0.184364,0.149080
5,1.702641,0.247455,1.652508,0.210773,0.169894,1.680542,0.229279,0.196413
6,1.253863,0.273591,1.263397,0.249937,0.219590,1.276017,0.268737,0.244338
7,0.905901,0.303489,0.896260,0.288362,0.262763,0.899604,0.323390,0.301404
8,0.608387,0.322164,0.601714,0.315006,0.289530,0.610808,0.306017,0.289904
9,0.357644,0.328127,0.357182,0.290907,0.278122,0.353240,0.317050,0.308378
10,0.153331,0.334546,0.152967,0.290640,0.298877,0.156783,0.260234,0.285632
11,0.148557,0.336083,0.156127,0.253534,0.275407,0.153605,0.232937,0.265887
12,0.153848,0.327431,0.142919,0.363544,0.376324,0.147832,0.303001,0.326238
13,0.139302,0.344240,0.142272,0.326300,0.339936,0.146030,0.243626,0.280796
14,0.135451,0.355511,0.138066,0.362106,0.368054,0.142547,0.284970,0.312167
15,0.131883,0.366902,0.141659,0.362943,0.366694,0.142985,0.259657,0.291381
16,0.138430,0.353074,0.134149,0.332165,0.340918,0.144918,0.222307,0.261912
17,0.133709,0.382884,0.132672,0.366206,0.369620,0.147140,0.197119,0.233514
18,0.128934,0.390290,0.133484,0.370312,0.370905,0.149475,0.189858,0.229243
19,0.123443,0.391288,0.129776,0.342300,0.363186,0.151876,0.163401,0.206154
20,0.122073,0.389003,0.132820,0.342761,0.347348,0.154005,0.189401,0.225260
21,0.123171,0.404952,0.130068,0.362348,0.374125,0.151110,0.186542,0.224805
22,0.118832,0.400807,0.144798,0.376682,0.370445,0.143875,0.228801,0.262000
23,0.122070,0.409663,0.124046,0.382554,0.384286,0.167106,0.147057,0.179658
24,0.116259,0.423711,0.132492,0.322645,0.325608,0.179348,0.135132,0.168161
