epoch,train_loss,train_wf1,dev_loss,dev_wf1,dev_uf1,test_loss,test_wf1,test_uf1
0,1.914708,0.219958,1.827462,0.095044,0.114212,1.794082,0.148247,0.146904
1,1.808151,0.181029,1.791990,0.128165,0.074375,1.763194,0.089361,0.063405
2,1.666104,0.240247,1.737467,0.153492,0.135485,1.591032,0.236586,0.200583
3,1.547307,0.301670,1.817818,0.202667,0.179438,1.595200,0.272121,0.228910
4,1.430202,0.377999,1.654036,0.289558,0.324068,1.430714,0.374232,0.368690
5,1.382242,0.412790,1.385075,0.400778,0.399995,1.264192,0.482926,0.447370
6,0.893368,0.504794,1.008283,0.427350,0.416443,0.881522,0.496574,0.454311
7,0.605487,0.535533,0.709818,0.446857,0.433727,0.594176,0.522485,0.507963
8,0.374922,0.535446,0.475137,0.447571,0.448203,0.382416,0.540218,0.520410
9,0.203811,0.575284,0.281860,0.488562,0.481634,0.214628,0.560973,0.538498
10,0.079949,0.567353,0.106595,0.444187,0.433192,0.085132,0.497276,0.494466
11,0.073049,0.582071,0.100407,0.511846,0.506986,0.077777,0.582422,0.563059
12,0.063776,0.601352,0.096452,0.479655,0.475923,0.080775,0.533296,0.526513
13,0.063238,0.610429,0.096133,0.514158,0.515764,0.079403,0.564096,0.552030
14,0.059094,0.622760,0.093981,0.497486,0.491327,0.083772,0.534387,0.524601
15,0.056697,0.625556,0.093941,0.510858,0.511607,0.082833,0.548423,0.540560
16,0.054711,0.654637,0.097173,0.536972,0.537237,0.076528,0.571382,0.557499
17,0.053247,0.644926,0.091141,0.508549,0.504258,0.086390,0.516639,0.510680
18,0.049673,0.664097,0.092102,0.549960,0.553890,0.081881,0.554683,0.544540
19,0.049760,0.662699,0.097204,0.471772,0.457255,0.089405,0.505571,0.495718
20,0.047041,0.658951,0.100128,0.530287,0.530859,0.079918,0.571909,0.560088
21,0.047976,0.667555,0.107337,0.518442,0.520778,0.076146,0.594849,0.586292
22,0.045066,0.686686,0.093922,0.524240,0.519278,0.078832,0.555277,0.545649
23,0.043865,0.692030,0.094402,0.504797,0.496396,0.078099,0.549020,0.541868
24,0.041101,0.691081,0.097452,0.534903,0.529215,0.079259,0.577564,0.563728
25,0.039960,0.693312,0.090025,0.500368,0.494016,0.086373,0.522242,0.518372
26,0.044219,0.688631,0.104422,0.505748,0.507753,0.086425,0.560291,0.556148
27,0.040032,0.695680,0.090214,0.531361,0.527487,0.081404,0.571904,0.555691
28,0.037047,0.722486,0.100675,0.526741,0.533420,0.081851,0.556073,0.552145
29,0.036654,0.712286,0.103564,0.527323,0.518628,0.086319,0.564840,0.551597
30,0.036150,0.710344,0.100473,0.514580,0.504361,0.079641,0.568745,0.560722
31,0.038271,0.705870,0.092616,0.542601,0.548954,0.080180,0.563926,0.555496
32,0.032782,0.743625,0.098072,0.511789,0.507166,0.083767,0.544601,0.538879
33,0.032123,0.750183,0.098313,0.544984,0.546883,0.081391,0.563883,0.553496
34,0.029883,0.750144,0.101913,0.536502,0.528892,0.082626,0.593208,0.578975
35,0.029079,0.758835,0.118003,0.543519,0.546085,0.085902,0.584659,0.570361
36,0.028437,0.765807,0.107042,0.532669,0.532378,0.091236,0.575484,0.561730
37,0.028391,0.762834,0.092294,0.544685,0.552150,0.084848,0.562236,0.552945
38,0.028828,0.762683,0.113476,0.502488,0.522125,0.093466,0.545762,0.536477
39,0.029702,0.751376,0.094467,0.538151,0.545951,0.086842,0.559443,0.551455
40,0.028117,0.762448,0.112003,0.531027,0.536462,0.094784,0.551484,0.540702
41,0.024967,0.778982,0.109548,0.561059,0.562076,0.090731,0.579036,0.567645
42,0.024423,0.776078,0.099814,0.548984,0.548681,0.088684,0.557918,0.549717
43,0.022667,0.790365,0.113354,0.552607,0.559005,0.091747,0.568404,0.563258
44,0.021405,0.795190,0.114501,0.544593,0.545952,0.103672,0.540156,0.534321
45,0.021574,0.792496,0.121818,0.558467,0.551584,0.095885,0.601954,0.589609
46,0.023873,0.791244,0.122339,0.530874,0.530810,0.092569,0.584211,0.569838
47,0.025398,0.769993,0.108828,0.516444,0.519942,0.100900,0.514975,0.512441
48,0.025255,0.780206,0.118684,0.501009,0.494506,0.102901,0.537767,0.532780
49,0.026709,0.779701,0.138497,0.520581,0.511376,0.097607,0.580910,0.569801
50,0.023928,0.781774,0.105711,0.560294,0.562721,0.101656,0.577733,0.564375
51,0.021386,0.799281,0.123806,0.512976,0.506496,0.102769,0.562668,0.554571
52,0.022336,0.796302,0.113718,0.509412,0.499513,0.096772,0.566360,0.557351
53,0.024316,0.781516,0.131171,0.528668,0.520025,0.105694,0.552911,0.542272
54,0.030801,0.760750,0.111597,0.510242,0.505455,0.104143,0.525368,0.523598
55,0.030243,0.759152,0.115977,0.510366,0.517456,0.115188,0.526038,0.507565
56,0.028234,0.768990,0.101349,0.548297,0.554049,0.095101,0.559072,0.550796
57,0.024037,0.784370,0.118899,0.498780,0.502369,0.102202,0.540252,0.535692
58,0.020751,0.812042,0.122188,0.569687,0.570613,0.098229,0.591401,0.576685
59,0.017945,0.819949,0.115995,0.559190,0.555111,0.109883,0.568116,0.549089
