epoch,train_loss,train_wf1,dev_loss,dev_wf1,dev_uf1,test_loss,test_wf1,test_uf1
0,1.879434,0.198847,1.780541,0.132214,0.175645,1.745114,0.163062,0.154584
1,1.742962,0.229130,1.490607,0.320257,0.301175,1.624777,0.211072,0.218575
2,1.540196,0.316823,1.351248,0.393256,0.351237,1.552341,0.307515,0.297370
3,1.423674,0.393090,1.338023,0.422816,0.400641,1.338535,0.441203,0.440001
4,1.267042,0.475518,1.209323,0.513977,0.475590,1.246500,0.482535,0.448838
5,1.218694,0.499178,1.136408,0.526904,0.517601,1.151607,0.538587,0.522649
6,0.828762,0.526058,0.788349,0.546763,0.523419,0.810265,0.531236,0.514446
7,0.567686,0.537974,0.575006,0.573359,0.563666,0.576822,0.539616,0.532687
8,0.324717,0.584241,0.383811,0.542843,0.530456,0.393744,0.506683,0.491913
9,0.197258,0.568853,0.206548,0.583404,0.563517,0.226223,0.543931,0.531764
10,0.077277,0.599440,0.088930,0.532390,0.508439,0.104057,0.512305,0.504606
11,0.067947,0.614286,0.086710,0.575985,0.558306,0.096754,0.532663,0.524934
12,0.062625,0.639404,0.085890,0.561377,0.548269,0.098594,0.522422,0.512009
13,0.060181,0.646012,0.083671,0.579482,0.555955,0.094566,0.557431,0.543103
14,0.058179,0.661166,0.080854,0.555483,0.552468,0.100806,0.508269,0.500642
15,0.055660,0.666898,0.086713,0.580400,0.562409,0.099641,0.533659,0.524409
16,0.054518,0.669342,0.082238,0.575836,0.555361,0.099555,0.540567,0.530028
17,0.053283,0.674396,0.079692,0.591302,0.574561,0.104210,0.533086,0.524946
18,0.050616,0.683809,0.081809,0.579837,0.565231,0.103143,0.540471,0.531418
19,0.049553,0.686588,0.082798,0.573918,0.550372,0.102834,0.525845,0.518228
20,0.049044,0.678910,0.077592,0.572114,0.565363,0.108905,0.513188,0.510603
21,0.049547,0.678486,0.080581,0.576146,0.556650,0.110582,0.534243,0.531179
22,0.046668,0.704648,0.075281,0.574290,0.561627,0.112731,0.523816,0.519030
23,0.045364,0.696155,0.086692,0.578674,0.561392,0.112241,0.536183,0.530520
24,0.045954,0.701348,0.086271,0.581743,0.550609,0.106014,0.550138,0.544950
25,0.043750,0.691407,0.081597,0.571421,0.555686,0.110963,0.527891,0.524713
26,0.043515,0.705407,0.078386,0.550351,0.558906,0.120497,0.475399,0.480736
27,0.042326,0.709609,0.075831,0.576910,0.566264,0.115387,0.483576,0.485249
28,0.039985,0.716469,0.082122,0.587832,0.569125,0.125136,0.487254,0.489291
29,0.038839,0.721950,0.077430,0.591459,0.572440,0.117494,0.511897,0.507364
30,0.039901,0.712581,0.081127,0.586810,0.563186,0.111026,0.545456,0.542514
31,0.038405,0.726498,0.081663,0.577694,0.573651,0.114644,0.489300,0.494469
32,0.038941,0.711793,0.073634,0.586214,0.569845,0.120992,0.463215,0.472595
33,0.037327,0.730906,0.082158,0.590039,0.569247,0.117507,0.510250,0.508006
34,0.033322,0.752377,0.086935,0.594565,0.562053,0.116290,0.501042,0.504103
35,0.030637,0.769062,0.085041,0.578444,0.565468,0.129109,0.473438,0.477680
36,0.028500,0.779538,0.085855,0.587227,0.559807,0.130687,0.485095,0.488317
37,0.026876,0.788169,0.086068,0.564727,0.552064,0.140044,0.424406,0.436137
38,0.028262,0.770334,0.085922,0.587414,0.573765,0.139948,0.453439,0.463000
39,0.027407,0.781638,0.087706,0.587485,0.564758,0.136768,0.443100,0.453201
40,0.027687,0.778144,0.091205,0.568330,0.569536,0.140228,0.447122,0.452750
41,0.031560,0.759111,0.085501,0.578950,0.578192,0.152235,0.433674,0.442789
42,0.037307,0.732815,0.083320,0.597042,0.572357,0.123853,0.503655,0.498949
43,0.034680,0.730783,0.090962,0.565972,0.552521,0.123936,0.480905,0.481877
44,0.028497,0.767192,0.091269,0.569437,0.560360,0.114992,0.517643,0.516864
45,0.027451,0.773355,0.092065,0.553852,0.542406,0.121218,0.505517,0.506361
46,0.024635,0.796854,0.090112,0.598028,0.577263,0.138188,0.476497,0.477556
47,0.022917,0.800615,0.093225,0.586744,0.568963,0.142176,0.470346,0.474405
48,0.021723,0.809152,0.100016,0.592726,0.560123,0.140435,0.517935,0.511104
49,0.024753,0.799955,0.097519,0.602570,0.569673,0.148494,0.497284,0.495479
50,0.022888,0.800536,0.095784,0.585091,0.576517,0.168360,0.425590,0.430813
51,0.021371,0.819191,0.096591,0.598097,0.575485,0.145799,0.504145,0.500182
52,0.020091,0.811420,0.092650,0.604729,0.577635,0.143179,0.505726,0.504714
53,0.021254,0.812286,0.100620,0.568388,0.545167,0.151548,0.485917,0.484474
54,0.020527,0.821660,0.090643,0.604700,0.581444,0.145998,0.491447,0.490675
55,0.018716,0.828607,0.099952,0.583987,0.552033,0.162851,0.482466,0.480979
56,0.021445,0.813037,0.116230,0.509277,0.510005,0.155403,0.471167,0.479485
57,0.030297,0.771241,0.093026,0.543903,0.541019,0.163110,0.425057,0.433844
58,0.027657,0.785651,0.098370,0.579259,0.569377,0.162523,0.460181,0.464360
59,0.025478,0.784207,0.089669,0.609722,0.576631,0.139535,0.513328,0.511858
