epoch,train_loss,train_wf1,dev_loss,dev_wf1,dev_uf1,test_loss,test_wf1,test_uf1
0,1.935507,0.200488,1.861000,0.021831,0.033224,1.779075,0.060773,0.054250
1,1.794741,0.187517,1.697664,0.071227,0.057249,1.723626,0.089361,0.063405
2,1.664969,0.243722,1.541155,0.183424,0.168500,1.578527,0.194453,0.173467
3,1.565534,0.301591,1.459676,0.258617,0.269871,1.449036,0.339204,0.296647
4,1.415599,0.389244,1.245681,0.454133,0.429936,1.235890,0.469074,0.441698
5,1.260741,0.463017,1.175535,0.466143,0.451005,1.140171,0.528937,0.490034
6,0.864479,0.496736,0.869485,0.473902,0.451127,1.008270,0.450782,0.422722
7,0.601858,0.505025,0.594210,0.486534,0.485252,0.625155,0.523758,0.503061
8,0.388746,0.533047,0.398268,0.552696,0.535751,0.509486,0.441301,0.437718
9,0.195395,0.570971,0.176824,0.577325,0.565313,0.218347,0.513629,0.504489
10,0.082499,0.554255,0.073920,0.562779,0.561571,0.105608,0.445028,0.455451
11,0.075248,0.581464,0.079440,0.568563,0.563924,0.106719,0.459907,0.460987
12,0.067550,0.606050,0.067001,0.584775,0.583399,0.098633,0.459459,0.460530
13,0.064831,0.606470,0.068989,0.587665,0.580367,0.092177,0.505604,0.500727
14,0.063115,0.621164,0.066940,0.596213,0.588614,0.090997,0.510193,0.507609
15,0.060936,0.619724,0.067033,0.599115,0.593240,0.104051,0.479053,0.478446
16,0.060033,0.628403,0.065894,0.610081,0.600199,0.092099,0.513214,0.511808
17,0.058014,0.629616,0.065036,0.608917,0.605393,0.091623,0.519916,0.513163
18,0.057418,0.635149,0.072104,0.616832,0.598359,0.097702,0.514081,0.509495
19,0.055517,0.649594,0.061133,0.607089,0.601672,0.110086,0.453608,0.453747
20,0.052866,0.634025,0.068361,0.614771,0.602764,0.112159,0.473801,0.471329
21,0.056217,0.630742,0.063507,0.605234,0.599983,0.106396,0.483321,0.485636
22,0.050577,0.654059,0.064857,0.607485,0.607734,0.109121,0.498729,0.486642
23,0.049961,0.660467,0.060361,0.614612,0.612187,0.111580,0.471900,0.466525
24,0.047821,0.660350,0.070437,0.626435,0.618419,0.113635,0.475606,0.468195
25,0.048294,0.671415,0.073706,0.589739,0.588546,0.141106,0.415060,0.413306
26,0.047580,0.659876,0.062691,0.615372,0.608680,0.111565,0.480861,0.478000
27,0.043853,0.689802,0.062732,0.645002,0.642066,0.115773,0.496465,0.479838
28,0.043615,0.700723,0.065751,0.622860,0.617045,0.118684,0.460147,0.450988
29,0.041147,0.689218,0.066755,0.657712,0.650044,0.119101,0.502787,0.481177
30,0.040471,0.697382,0.062076,0.635368,0.632945,0.124737,0.471412,0.453587
31,0.039670,0.700621,0.057901,0.621121,0.615340,0.128789,0.452397,0.441349
32,0.038775,0.712413,0.074045,0.619735,0.613358,0.132331,0.455475,0.440289
33,0.036905,0.704369,0.062378,0.650567,0.650542,0.136993,0.452410,0.444637
34,0.034669,0.722974,0.064060,0.670310,0.665658,0.147851,0.466711,0.453963
35,0.036571,0.713433,0.064717,0.585068,0.590053,0.149382,0.436166,0.427188
36,0.034942,0.711716,0.074476,0.643011,0.635666,0.146631,0.483876,0.455662
37,0.034829,0.727970,0.064319,0.643707,0.641004,0.136197,0.489857,0.476875
38,0.032609,0.725767,0.076405,0.631544,0.630989,0.166379,0.447412,0.432995
39,0.028519,0.749316,0.067039,0.663069,0.658228,0.147505,0.470460,0.458599
40,0.028728,0.754376,0.064728,0.647263,0.645414,0.160473,0.453018,0.435958
41,0.026975,0.768192,0.070709,0.635116,0.633701,0.150254,0.479903,0.461608
42,0.030368,0.746260,0.084035,0.629929,0.621357,0.167586,0.469347,0.444577
43,0.034300,0.739781,0.092368,0.615823,0.592855,0.164233,0.496052,0.469666
44,0.052082,0.655252,0.085067,0.621710,0.610596,0.140466,0.499100,0.477296
45,0.045260,0.671094,0.077250,0.581140,0.583910,0.135316,0.497548,0.480879
46,0.036193,0.718472,0.066888,0.654071,0.640370,0.140209,0.473772,0.468884
47,0.031825,0.737754,0.075466,0.615148,0.613104,0.152168,0.447401,0.435132
48,0.030107,0.738741,0.077462,0.632371,0.618445,0.148905,0.493632,0.478716
49,0.029499,0.749306,0.073006,0.625750,0.621326,0.155044,0.455717,0.448098
50,0.027168,0.765918,0.076143,0.630284,0.623213,0.141232,0.485550,0.472840
51,0.023340,0.786107,0.074462,0.631211,0.625472,0.153964,0.473815,0.456078
52,0.021765,0.789668,0.073127,0.642436,0.643353,0.167969,0.459902,0.443495
53,0.020435,0.808546,0.075925,0.651290,0.643807,0.173089,0.470619,0.447515
54,0.019814,0.805175,0.080920,0.658648,0.649367,0.169472,0.477212,0.462580
55,0.018337,0.811232,0.078663,0.627108,0.620892,0.185645,0.475615,0.452970
56,0.018543,0.814656,0.081915,0.621517,0.621168,0.181559,0.456834,0.440725
57,0.018158,0.817077,0.077103,0.666151,0.661278,0.200945,0.468971,0.453229
58,0.018247,0.813918,0.078223,0.631776,0.633663,0.185149,0.479761,0.459136
59,0.017457,0.824821,0.079996,0.647768,0.641387,0.197102,0.456862,0.434223
