epoch,train_loss,train_wf1,dev_loss,dev_wf1,dev_uf1,test_loss,test_wf1,test_uf1,ce,fc,cl
0,2.460567,0.204171,1.974024,0.075105,0.071284,2.147722,0.090758,0.082481,2.369033,0.000000,4.576675
1,1.967343,0.250657,1.786499,0.169247,0.203715,1.652433,0.203513,0.223201,1.786250,0.000000,4.527319
2,1.853011,0.312935,1.703937,0.239379,0.233282,1.811414,0.165894,0.178932,1.592768,0.000000,4.337388
3,1.812380,0.337793,1.812655,0.341875,0.325507,1.699133,0.347630,0.334338,1.477883,0.000000,4.181215
4,1.809130,0.394274,1.435331,0.342134,0.304138,1.391001,0.366724,0.348176,1.395621,0.000000,4.135092
5,1.733143,0.418372,1.386883,0.396218,0.388917,1.259222,0.493871,0.460517,1.322493,0.000000,4.106497
6,1.667086,0.459903,1.306224,0.320382,0.344114,1.163598,0.397934,0.420534,1.259462,0.000000,4.076235
7,1.617488,0.459628,1.330823,0.416200,0.398246,1.194615,0.503462,0.493910,1.211039,0.000000,4.064489
8,1.585607,0.514678,1.300592,0.426325,0.421254,1.041344,0.603192,0.608937,1.181194,0.000000,4.044126
9,1.522414,0.553037,1.248359,0.392387,0.392173,1.046119,0.527832,0.529778,1.119504,0.000000,4.029101
10,1.458172,0.548329,1.283445,0.439471,0.433046,1.059275,0.558368,0.549846,1.056671,0.000000,4.015006
11,1.447775,0.590199,1.300838,0.450875,0.443365,0.953095,0.625180,0.625095,1.047655,0.000000,4.001199
12,1.393504,0.588317,1.248485,0.431956,0.402730,0.982989,0.568168,0.561631,0.994011,0.000000,3.994928
13,1.321079,0.608152,1.241785,0.469658,0.449199,0.895077,0.650164,0.643276,0.922278,0.000000,3.988003
14,1.329074,0.613088,1.327355,0.463067,0.455744,1.181549,0.534969,0.521238,0.930865,0.000000,3.982083
15,1.305027,0.627892,1.163125,0.480339,0.484930,0.977736,0.603608,0.598389,0.907363,0.000000,3.976644
16,1.199015,0.658383,1.297199,0.472524,0.468966,0.878596,0.620345,0.606648,0.802065,0.000000,3.969497
17,1.186342,0.674577,1.253002,0.466417,0.442965,0.892832,0.613103,0.612689,0.790233,0.000000,3.961099
18,1.211384,0.642939,1.208317,0.460455,0.444561,0.890235,0.611116,0.613455,0.815730,0.000000,3.956547
19,1.227599,0.639651,1.260612,0.455050,0.444822,0.929375,0.618679,0.603567,0.832200,0.000000,3.953989
20,1.178688,0.656477,1.229699,0.506967,0.498401,0.833145,0.649026,0.641334,0.783783,0.000000,3.949048
21,1.147461,0.692454,1.218155,0.447307,0.440642,1.040331,0.544837,0.541905,0.753155,0.000000,3.943061
22,1.150669,0.671978,1.305851,0.493938,0.479476,0.859604,0.649515,0.644463,0.757628,0.000000,3.930409
23,1.103348,0.706989,1.326932,0.457881,0.444692,1.111099,0.542371,0.536110,0.710666,0.000000,3.926824
24,1.095934,0.711259,1.238756,0.495143,0.489195,0.786200,0.680983,0.678423,0.703716,0.000000,3.922180
25,1.068362,0.711836,1.197479,0.486203,0.462561,0.931952,0.628632,0.612130,0.676747,0.000000,3.916147
26,1.044321,0.728061,1.335161,0.508281,0.494329,0.883043,0.644788,0.642672,0.653571,0.000000,3.907499
27,1.040105,0.718785,1.198138,0.505954,0.481568,0.850875,0.647439,0.638111,0.649871,0.000000,3.902335
28,0.999131,0.749741,1.188065,0.537460,0.534984,0.811976,0.669943,0.660131,0.609664,0.000000,3.894674
29,0.994158,0.742282,1.174999,0.525807,0.506539,0.871348,0.650645,0.639730,0.605120,0.000000,3.890388
30,0.975797,0.746976,1.178429,0.530813,0.522269,0.806959,0.664669,0.657024,0.587394,0.000000,3.884029
31,0.965993,0.757461,1.149719,0.534030,0.520456,0.838655,0.656741,0.644956,0.578208,0.000000,3.877849
32,0.951950,0.754927,1.198833,0.535496,0.520470,0.866667,0.651661,0.642614,0.564602,0.000000,3.873479
33,0.946709,0.772958,1.187673,0.533016,0.518257,0.811395,0.669597,0.658827,0.559694,0.000000,3.870155
34,0.936378,0.764349,1.192421,0.533453,0.519206,0.852435,0.658599,0.650080,0.549775,0.000000,3.866034
35,0.931759,0.767401,1.175625,0.536399,0.522241,0.854835,0.648838,0.639862,0.545442,0.000000,3.863173
36,0.926665,0.774700,1.184005,0.530856,0.516599,0.845638,0.659913,0.649428,0.540576,0.000000,3.860895
37,0.928627,0.773026,1.198676,0.530356,0.515068,0.843262,0.662692,0.651879,0.542704,0.000000,3.859231
38,0.922024,0.777341,1.196348,0.532831,0.517897,0.844401,0.660668,0.650705,0.536140,0.000000,3.858838
39,0.921079,0.775798,1.196032,0.533531,0.518201,0.844832,0.663072,0.652760,0.535213,0.000000,3.858652
