epoch,train_loss,train_wf1,dev_loss,dev_wf1,dev_uf1,test_loss,test_wf1,test_uf1,ce,fc,cl
0,2.500394,0.188260,1.983528,0.149592,0.145488,2.056593,0.174390,0.153570,2.409330,0.000000,4.553217
1,2.001032,0.237955,1.740365,0.151138,0.180094,1.720418,0.196552,0.212567,1.821390,0.000000,4.491043
2,1.923145,0.247907,1.586606,0.287392,0.265268,1.609220,0.297017,0.269962,1.663578,0.000000,4.326126
3,1.886161,0.311275,1.447381,0.360463,0.344023,1.489520,0.378013,0.369398,1.555506,0.000000,4.133189
4,1.845895,0.384742,1.387639,0.392728,0.375802,1.476342,0.348113,0.373499,1.442024,0.000000,4.038716
5,1.759631,0.396746,1.282404,0.397218,0.388141,1.250732,0.422862,0.401592,1.359995,0.000000,3.996359
6,1.721327,0.417763,1.284902,0.426271,0.408873,1.414746,0.351332,0.385595,1.323812,0.000000,3.975152
7,1.652459,0.440016,1.193513,0.499740,0.468495,1.220716,0.514976,0.486389,1.256135,0.000000,3.963242
8,1.646249,0.457129,1.121763,0.525720,0.500453,1.176338,0.477625,0.483694,1.249915,0.000000,3.963335
9,1.556900,0.504515,1.033357,0.543599,0.508876,1.004368,0.565362,0.562455,1.161470,0.000000,3.954300
10,1.495703,0.517645,1.079869,0.562990,0.568443,1.110465,0.499046,0.497211,1.101695,0.000000,3.940083
11,1.448707,0.544792,1.017569,0.554178,0.514217,0.946398,0.588791,0.581776,1.055419,0.000000,3.932883
12,1.426387,0.551427,0.970708,0.556759,0.522195,0.977882,0.585759,0.580060,1.035238,0.000000,3.911493
13,1.399305,0.539055,1.065528,0.578693,0.593854,1.047213,0.567774,0.544455,1.010008,0.000000,3.892971
14,1.380670,0.564344,0.988985,0.608890,0.571301,1.023519,0.588095,0.583209,0.992155,0.000000,3.885145
15,1.324333,0.612594,1.007230,0.574849,0.552076,1.177709,0.548484,0.542006,0.937699,0.000000,3.866345
16,1.311599,0.599714,1.046418,0.563061,0.535191,1.189375,0.544183,0.528399,0.926153,0.000000,3.854459
17,1.279400,0.621421,0.930239,0.605025,0.562977,0.959548,0.615333,0.605287,0.896710,0.000000,3.826900
18,1.246188,0.618746,0.969463,0.609190,0.588586,0.952003,0.615830,0.603738,0.866094,0.000000,3.800939
19,1.201686,0.644969,0.910435,0.600418,0.585704,0.958216,0.595758,0.587411,0.824351,0.000000,3.773346
20,1.184595,0.656995,0.839857,0.656579,0.656892,0.898819,0.647389,0.632134,0.809660,0.000000,3.749347
21,1.154286,0.662103,0.924974,0.622295,0.609863,0.935223,0.616953,0.605894,0.781223,0.000000,3.730624
22,1.127666,0.688966,0.982619,0.596962,0.590015,1.005409,0.556982,0.558812,0.755430,0.000000,3.722360
23,1.169168,0.669103,0.893133,0.657912,0.654898,1.015337,0.594494,0.580884,0.797243,0.000000,3.719245
24,1.127149,0.680139,0.880685,0.627507,0.634781,0.903503,0.620642,0.615692,0.756897,0.000000,3.702514
25,1.079508,0.694055,0.865321,0.661086,0.660929,0.946247,0.610839,0.603291,0.710634,0.000000,3.688734
26,1.048921,0.711954,0.895159,0.634279,0.631102,0.904911,0.630970,0.622957,0.680623,0.000000,3.682984
27,1.027868,0.724685,0.898233,0.632438,0.631227,0.932342,0.636497,0.623607,0.660291,0.000000,3.675762
28,1.026509,0.724176,0.955727,0.663295,0.661109,1.017918,0.626785,0.611746,0.659369,0.000000,3.671399
29,1.022943,0.730490,0.903928,0.634334,0.636082,0.964260,0.628479,0.618688,0.656370,0.000000,3.665735
30,1.012737,0.736603,0.930218,0.642778,0.643069,0.993984,0.633907,0.622569,0.646154,0.000000,3.665825
31,0.988642,0.743895,0.902839,0.648351,0.648458,0.967600,0.633509,0.623490,0.622790,0.000000,3.658525
32,0.978085,0.747125,0.894594,0.650757,0.650123,0.963759,0.630631,0.624551,0.612550,0.000000,3.655357
33,0.958774,0.756579,0.901252,0.645537,0.642018,0.935707,0.647040,0.637224,0.593675,0.000000,3.650995
34,0.956727,0.759996,0.919155,0.641017,0.638506,0.981229,0.634023,0.623201,0.591718,0.000000,3.650093
35,0.951852,0.758542,0.902086,0.643426,0.641117,0.926591,0.652160,0.643267,0.587025,0.000000,3.648268
36,0.952769,0.752572,0.906265,0.648630,0.648457,0.943597,0.648235,0.638852,0.588107,0.000000,3.646616
37,0.950687,0.756198,0.911100,0.647259,0.646362,0.963359,0.645324,0.636209,0.586055,0.000000,3.646318
38,0.939362,0.764611,0.908827,0.650592,0.650404,0.964592,0.644709,0.635464,0.574735,0.000000,3.646274
39,0.934702,0.766057,0.908735,0.649771,0.649603,0.964675,0.644121,0.634683,0.570104,0.000000,3.645977
