epoch,train_loss,train_wf1,dev_loss,dev_wf1,dev_uf1,test_loss,test_wf1,test_uf1,ce,fc,cl
0,2.808890,0.182079,1.904148,0.041978,0.045847,1.951477,0.019886,0.031622,2.717201,0.000000,4.584455
1,2.000287,0.226765,1.617229,0.276996,0.223839,1.675847,0.258036,0.220204,1.818583,0.000000,4.542588
2,1.960123,0.247359,1.597670,0.270416,0.281116,1.664287,0.314714,0.278471,1.696127,0.000000,4.399930
3,1.984430,0.268340,1.559476,0.284399,0.273422,1.644334,0.294136,0.264495,1.645948,0.000000,4.231020
4,2.044845,0.286948,1.524681,0.276324,0.284630,1.628503,0.283171,0.246159,1.634471,0.000000,4.103747
5,1.958682,0.345286,1.404114,0.325187,0.348060,1.566912,0.315170,0.305307,1.554686,0.000000,4.039958
6,1.845486,0.380928,1.320926,0.461201,0.463074,1.432681,0.445383,0.435567,1.443924,0.000000,4.015624
7,1.763884,0.407519,1.375435,0.349349,0.380690,1.337923,0.356864,0.327733,1.363838,0.000000,4.000455
8,1.725367,0.431069,1.303133,0.385007,0.388469,1.348631,0.347209,0.364597,1.326212,0.000000,3.991551
9,1.760049,0.380682,1.306656,0.315946,0.326696,1.347854,0.285095,0.323829,1.361811,0.000000,3.982378
10,1.649890,0.467704,1.257294,0.460663,0.444116,1.251468,0.485647,0.454819,1.252501,0.000000,3.973890
11,1.615370,0.489024,1.208634,0.457651,0.466631,1.319455,0.408576,0.406721,1.219318,0.000000,3.960514
12,1.542669,0.523674,1.279547,0.420708,0.413637,1.278637,0.455202,0.449857,1.148217,0.000000,3.944522
13,1.540422,0.532698,1.223310,0.442775,0.459938,1.082694,0.504304,0.512381,1.146821,0.000000,3.936012
14,1.451143,0.550066,1.181322,0.502574,0.512469,1.131427,0.519001,0.514271,1.058906,0.000000,3.922370
15,1.451105,0.555761,1.207189,0.392413,0.439388,1.192830,0.408638,0.440420,1.060367,0.000000,3.907381
16,1.461219,0.547090,1.045252,0.586435,0.570961,1.054086,0.579757,0.554885,1.071094,0.000000,3.901248
17,1.393465,0.575483,1.174763,0.568432,0.552999,1.380164,0.475476,0.456904,1.004995,0.000000,3.884704
18,1.336850,0.586515,1.048880,0.532553,0.544343,1.017130,0.574369,0.575270,0.949651,0.000000,3.871988
19,1.341277,0.589787,1.229939,0.496820,0.498603,1.169987,0.511847,0.502377,0.956504,0.000000,3.847735
20,1.301822,0.598024,1.045895,0.512709,0.537767,1.092861,0.506290,0.518240,0.917989,0.000000,3.838331
21,1.256527,0.627763,1.011642,0.606104,0.601790,0.907006,0.634112,0.616264,0.875198,0.000000,3.813291
22,1.209250,0.645809,0.991911,0.594994,0.603802,0.974796,0.596949,0.592632,0.830159,0.000000,3.790913
23,1.211767,0.624476,1.074071,0.561912,0.563146,1.000007,0.585335,0.573301,0.833867,0.000000,3.778994
24,1.205872,0.643731,0.986852,0.575274,0.580843,0.998113,0.591505,0.584663,0.829015,0.000000,3.768573
25,1.173681,0.638047,0.967251,0.625179,0.618148,0.912757,0.642114,0.630224,0.797491,0.000000,3.761896
26,1.141825,0.676668,1.053603,0.603659,0.601255,0.970834,0.612574,0.597423,0.767118,0.000000,3.747079
27,1.127510,0.667436,0.941796,0.639258,0.642378,0.871566,0.653022,0.641306,0.753275,0.000000,3.742359
28,1.092954,0.692880,0.987181,0.619457,0.620495,0.988486,0.611642,0.597041,0.719584,0.000000,3.733700
29,1.064857,0.700724,1.029929,0.633854,0.632246,0.918254,0.644851,0.628763,0.692399,0.000000,3.724578
30,1.063026,0.701306,0.959734,0.644150,0.644144,0.954455,0.628297,0.613402,0.690693,0.000000,3.723333
31,1.063942,0.706554,0.988888,0.637747,0.634305,0.929356,0.634794,0.620643,0.692552,0.000000,3.713898
32,1.030180,0.712106,1.059853,0.619020,0.619418,0.989605,0.625882,0.607075,0.659082,0.000000,3.710977
33,1.032835,0.709651,1.005381,0.636671,0.635308,0.915337,0.642740,0.626008,0.661829,0.000000,3.710056
34,1.011856,0.721104,1.037623,0.640131,0.636329,0.988317,0.638218,0.621360,0.641438,0.000000,3.704179
35,1.006053,0.730370,1.015173,0.635600,0.634535,0.955730,0.633247,0.617628,0.635771,0.000000,3.702817
36,1.012063,0.721101,0.994422,0.650932,0.649951,0.930999,0.645086,0.630518,0.641938,0.000000,3.701248
37,0.999948,0.722987,1.007863,0.648381,0.645544,0.947005,0.638021,0.620660,0.629980,0.000000,3.699685
38,0.998989,0.729518,1.010988,0.642892,0.639509,0.951563,0.639199,0.621575,0.629004,0.000000,3.699850
39,0.994354,0.728286,1.011433,0.642820,0.639708,0.952723,0.638658,0.620881,0.624436,0.000000,3.699179
