epoch,train_loss,train_wf1,dev_loss,dev_wf1,dev_uf1,test_loss,test_wf1,test_uf1,ce,fc,cl
0,2.689688,0.175515,1.879200,0.046280,0.049730,1.840368,0.082293,0.069967,2.597635,0.000000,4.602619
1,2.103486,0.153165,1.784413,0.141264,0.115652,1.804010,0.102392,0.093870,1.921835,0.000000,4.541271
2,2.047846,0.200672,1.637562,0.195714,0.151863,1.737104,0.159075,0.138194,1.786095,0.000000,4.362518
3,1.994434,0.256062,1.446514,0.357025,0.328184,1.543528,0.351603,0.338072,1.662396,0.000000,4.150477
4,1.916675,0.352151,1.369451,0.381313,0.359996,1.512292,0.367914,0.356877,1.509293,0.000000,4.073828
5,1.775874,0.405936,1.290890,0.424756,0.389351,1.318219,0.429161,0.432419,1.371400,0.000000,4.044738
6,1.706827,0.451422,1.340236,0.416107,0.387659,1.476952,0.379881,0.361016,1.304218,0.000000,4.026093
7,1.760247,0.391009,1.369700,0.426546,0.380851,1.288008,0.483145,0.484301,1.358101,0.000000,4.021467
8,1.663318,0.465996,1.361240,0.344270,0.346048,1.338566,0.331981,0.331356,1.260101,0.000000,4.032177
9,1.588228,0.486214,1.285503,0.468366,0.422909,1.140315,0.531209,0.513528,1.185981,0.000000,4.022469
10,1.551215,0.502759,1.172094,0.526310,0.519946,1.038113,0.578978,0.576945,1.151054,0.000000,4.001606
11,1.453509,0.534670,1.236361,0.490419,0.459104,1.105305,0.544779,0.532103,1.054681,0.000000,3.988278
12,1.474931,0.522469,1.195649,0.538677,0.537416,1.089501,0.552444,0.540836,1.077131,0.000000,3.978005
13,1.482812,0.556508,1.206094,0.474117,0.504212,1.064963,0.530037,0.532362,1.085699,0.000000,3.971131
14,1.459611,0.531066,1.355713,0.458234,0.427900,1.266062,0.505916,0.487394,1.062549,0.000000,3.970625
15,1.416944,0.570358,1.164279,0.567040,0.576966,1.007725,0.568380,0.565764,1.019462,0.000000,3.974822
16,1.347919,0.589335,1.082575,0.562541,0.524484,1.190078,0.523189,0.490691,0.952268,0.000000,3.956507
17,1.322436,0.595842,1.119298,0.532024,0.529276,0.969331,0.579319,0.578477,0.927544,0.000000,3.948914
18,1.295051,0.621987,1.090893,0.570498,0.562083,1.081812,0.568026,0.549983,0.900751,0.000000,3.943009
19,1.281236,0.616057,1.230646,0.500095,0.528901,1.085632,0.545550,0.554611,0.887864,0.000000,3.933728
20,1.286130,0.621318,1.069450,0.586796,0.582645,1.160395,0.570341,0.547614,0.893541,0.000000,3.925887
21,1.248196,0.637647,1.033704,0.573479,0.577433,0.894480,0.648013,0.631080,0.856005,0.000000,3.921908
22,1.201123,0.654996,1.008871,0.571078,0.594226,0.987392,0.596927,0.584234,0.809808,0.000000,3.913149
23,1.179641,0.665187,0.986140,0.576395,0.566854,0.940089,0.632247,0.607030,0.789007,0.000000,3.906339
24,1.172504,0.670799,0.982920,0.582706,0.603554,0.974463,0.626018,0.609738,0.782492,0.000000,3.900116
25,1.138987,0.681858,0.969280,0.605282,0.626113,0.922282,0.631083,0.615807,0.749624,0.000000,3.893631
26,1.133555,0.678817,0.946579,0.617586,0.637260,0.927662,0.636647,0.624194,0.744569,0.000000,3.889863
27,1.109255,0.693059,0.979304,0.595518,0.614035,0.937446,0.645550,0.628166,0.720884,0.000000,3.883706
28,1.101704,0.692105,0.990982,0.589227,0.609654,0.981806,0.631605,0.614618,0.714019,0.000000,3.876857
29,1.077957,0.708394,0.931118,0.614962,0.625962,0.936446,0.638405,0.623079,0.690483,0.000000,3.874734
30,1.064666,0.718631,0.969372,0.598464,0.612869,1.001821,0.614470,0.594725,0.677602,0.000000,3.870640
31,1.043129,0.730469,0.950861,0.606243,0.615188,0.923600,0.651774,0.633373,0.656417,0.000000,3.867116
32,1.037959,0.726048,0.941638,0.608961,0.626276,0.992491,0.628224,0.610707,0.651738,0.000000,3.862210
33,1.022428,0.733716,0.928164,0.611699,0.628149,0.956904,0.635212,0.618432,0.636514,0.000000,3.859140
34,1.019009,0.738175,0.943150,0.603606,0.617498,0.932091,0.651996,0.633815,0.633279,0.000000,3.857304
35,1.007917,0.745399,0.929539,0.609140,0.624619,0.963369,0.636556,0.619302,0.622357,0.000000,3.855601
36,1.008437,0.738759,0.935148,0.607605,0.624626,0.978574,0.629811,0.614090,0.623107,0.000000,3.853296
37,1.002533,0.747454,0.935147,0.606628,0.625153,0.965496,0.631201,0.615331,0.617274,0.000000,3.852587
38,0.992742,0.747148,0.938153,0.610522,0.628050,0.964394,0.633435,0.618087,0.607473,0.000000,3.852684
39,0.991825,0.746639,0.937995,0.609564,0.627395,0.964594,0.633435,0.618087,0.606621,0.000000,3.852037
