epoch,train_loss,train_wf1,dev_loss,dev_wf1,dev_uf1,test_loss,test_wf1,test_uf1,ce,fc,cl
0,2.398421,0.219464,2.108157,0.018127,0.031045,1.951246,0.027712,0.038709,2.307285,0.000000,4.556810
1,2.070536,0.186082,1.664878,0.162744,0.124220,1.802929,0.135199,0.130087,1.889513,0.000000,4.525581
2,2.003181,0.238133,1.586763,0.267076,0.258746,1.756828,0.246906,0.222750,1.740614,0.000000,4.376115
3,1.937674,0.319383,1.691807,0.243575,0.255372,1.590783,0.314923,0.289119,1.603295,0.000000,4.179742
4,1.881049,0.374150,1.348924,0.410371,0.416031,1.485718,0.367267,0.385761,1.472845,0.000000,4.082042
5,1.777461,0.431309,1.327510,0.394784,0.402813,1.505157,0.344277,0.337449,1.374621,0.000000,4.028398
6,1.822703,0.406448,1.300164,0.430175,0.427081,1.349267,0.426417,0.438582,1.422153,0.000000,4.005498
7,1.675189,0.491379,1.200007,0.526246,0.483377,1.297771,0.507206,0.472410,1.275140,0.000000,4.000485
8,1.632465,0.497768,1.160305,0.526310,0.504641,1.258766,0.520743,0.511472,1.233894,0.000000,3.985711
9,1.566711,0.526096,1.141362,0.511217,0.482556,1.165889,0.528017,0.508523,1.170187,0.000000,3.965234
10,1.624940,0.488850,1.252198,0.441234,0.440455,1.426439,0.388431,0.379540,1.228976,0.000000,3.959642
11,1.579944,0.514379,1.162889,0.514877,0.519324,1.076234,0.544273,0.544315,1.183179,0.000000,3.967649
12,1.465537,0.552721,1.160941,0.558672,0.534955,1.080326,0.558934,0.549389,1.070839,0.000000,3.946974
13,1.409200,0.578558,1.097972,0.564197,0.548842,1.061528,0.546779,0.538791,1.016020,0.000000,3.931799
14,1.348606,0.598629,1.067335,0.572883,0.547206,0.975659,0.582670,0.560920,0.957014,0.000000,3.915923
15,1.309832,0.612305,1.116783,0.552449,0.538961,1.073197,0.548651,0.522604,0.919438,0.000000,3.903940
16,1.275809,0.635802,1.034746,0.584348,0.573070,0.987672,0.586496,0.580927,0.886466,0.000000,3.893422
17,1.242586,0.641229,1.095120,0.559166,0.551094,0.986781,0.583082,0.577087,0.853925,0.000000,3.886618
18,1.214244,0.651989,1.034541,0.599170,0.593216,0.904518,0.637924,0.630236,0.827464,0.000000,3.867801
19,1.180978,0.668567,1.097026,0.591762,0.568391,0.901792,0.642491,0.627693,0.795169,0.000000,3.858098
20,1.189341,0.661854,1.101537,0.572793,0.553379,1.051856,0.524212,0.513860,0.804840,0.000000,3.845014
21,1.160730,0.678494,1.005843,0.626746,0.613731,0.906867,0.645106,0.624149,0.777159,0.000000,3.835707
22,1.133964,0.680595,1.128334,0.591737,0.553295,1.030737,0.620888,0.593031,0.751592,0.000000,3.823728
23,1.091202,0.706872,1.068260,0.617541,0.607409,0.997878,0.587797,0.582574,0.709704,0.000000,3.814976
24,1.062512,0.722430,1.023236,0.623911,0.607328,0.879209,0.655694,0.645426,0.682424,0.000000,3.800871
25,1.055860,0.717426,1.003148,0.610286,0.601446,0.931286,0.634453,0.622093,0.677072,0.000000,3.787880
26,1.035025,0.726201,1.016512,0.580879,0.573251,0.894276,0.631585,0.617023,0.657469,0.000000,3.775558
27,1.016584,0.729708,1.021124,0.609285,0.601806,0.921977,0.632012,0.620784,0.640252,0.000000,3.763320
28,0.994936,0.745196,1.057181,0.602307,0.580972,0.915995,0.655129,0.643611,0.619438,0.000000,3.754982
29,0.974098,0.756337,1.041597,0.616860,0.601715,0.933567,0.642538,0.630517,0.599885,0.000000,3.742123
30,0.959213,0.756580,1.035238,0.619882,0.602462,0.888758,0.657494,0.652631,0.585763,0.000000,3.734503
31,0.943179,0.766017,1.043710,0.621021,0.613550,0.936399,0.629690,0.623559,0.570646,0.000000,3.725334
32,0.942248,0.767666,1.028745,0.624642,0.615032,0.915167,0.642839,0.636856,0.570460,0.000000,3.717876
33,0.925379,0.775875,1.050827,0.622124,0.612706,0.921392,0.646191,0.638177,0.553895,0.000000,3.714841
34,0.919726,0.781189,1.036306,0.621346,0.606692,0.927189,0.649740,0.643801,0.548647,0.000000,3.710797
35,0.913931,0.780014,1.037519,0.617773,0.607052,0.927771,0.638190,0.631637,0.543051,0.000000,3.708795
36,0.911008,0.782469,1.034871,0.621619,0.607956,0.924622,0.646324,0.640297,0.540351,0.000000,3.706568
37,0.905016,0.780179,1.032545,0.627560,0.614632,0.924538,0.641047,0.636154,0.534456,0.000000,3.705596
38,0.899197,0.788368,1.034010,0.628196,0.616413,0.923550,0.644112,0.638802,0.528725,0.000000,3.704722
39,0.916132,0.771650,1.034449,0.628157,0.616408,0.923258,0.643579,0.637761,0.545648,0.000000,3.704839
