epoch,train_loss,train_wf1,dev_loss,dev_wf1,dev_uf1,test_loss,test_wf1,test_uf1
0,1.583449,0.309360,1.546162,0.251347,0.084913,1.460564,0.312575,0.092811
1,1.478372,0.377444,1.516843,0.419887,0.250042,1.455551,0.430804,0.226296
2,1.417493,0.414756,1.424353,0.438293,0.264192,1.375811,0.461412,0.243021
3,1.375800,0.449545,1.401640,0.445696,0.280791,1.363444,0.468138,0.269203
4,1.343521,0.470700,1.446437,0.416784,0.237985,1.379150,0.452234,0.234574
5,1.320625,0.483532,1.380307,0.467383,0.300751,1.334622,0.475689,0.272153
6,0.945650,0.504835,1.015870,0.469956,0.300457,0.993145,0.482521,0.280496
7,0.661491,0.511071,0.721437,0.480552,0.314530,0.704959,0.483233,0.280399
8,0.417394,0.531825,0.476985,0.468482,0.298707,0.466050,0.479519,0.276041
9,0.226771,0.554058,0.277092,0.490447,0.332074,0.270094,0.493614,0.301080
10,0.064083,0.522779,0.084538,0.439217,0.337611,0.075499,0.447845,0.308443
11,0.059803,0.501670,0.082166,0.422837,0.328400,0.073793,0.439970,0.310168
12,0.057570,0.498602,0.083183,0.411661,0.326590,0.075453,0.422802,0.300376
13,0.055348,0.505117,0.086005,0.367361,0.300970,0.074762,0.391831,0.296264
14,0.054186,0.500288,0.084362,0.396646,0.317419,0.076190,0.421621,0.300500
15,0.050969,0.503100,0.094010,0.368651,0.303849,0.081449,0.385537,0.282286
16,0.049202,0.500115,0.093481,0.445814,0.322045,0.086941,0.453841,0.295725
17,0.047895,0.509603,0.098145,0.375304,0.283736,0.085695,0.399860,0.288308
18,0.046924,0.503314,0.089613,0.386754,0.318854,0.080289,0.392337,0.283880
19,0.043681,0.518535,0.094960,0.350046,0.291168,0.087059,0.368014,0.275931
20,0.042183,0.510466,0.100207,0.366218,0.303695,0.088581,0.397338,0.281492
21,0.042359,0.503991,0.100404,0.351821,0.288454,0.090761,0.368669,0.262650
22,0.038723,0.529917,0.103142,0.406761,0.304790,0.096410,0.416036,0.294291
23,0.036524,0.536471,0.109578,0.325289,0.264854,0.094752,0.345589,0.254241
24,0.036198,0.531361,0.110396,0.344107,0.280333,0.103286,0.368790,0.274457
