epoch,train_loss,train_wf1,dev_loss,dev_wf1,dev_uf1,test_loss,test_wf1,test_uf1
0,1.555496,0.338958,1.492357,0.310262,0.139696,1.410818,0.361074,0.138163
1,1.461758,0.390339,1.436424,0.385825,0.209588,1.382152,0.411038,0.187960
2,1.401265,0.430556,1.404810,0.423892,0.247394,1.361226,0.450285,0.229310
3,1.367577,0.456659,1.410576,0.429692,0.252683,1.364618,0.456532,0.241032
4,1.341441,0.474462,1.385465,0.442577,0.273270,1.355172,0.456619,0.245793
5,1.312700,0.491029,1.387149,0.449819,0.274924,1.351739,0.463260,0.249920
6,0.938838,0.509143,1.023013,0.446494,0.281215,0.989552,0.461221,0.258828
7,0.644480,0.526353,0.743029,0.458006,0.287740,0.720673,0.468894,0.264071
8,0.410509,0.541549,0.487524,0.474997,0.313150,0.462750,0.497436,0.308029
9,0.220244,0.561807,0.280537,0.458535,0.313954,0.266585,0.490000,0.318000
10,0.060314,0.523783,0.094348,0.432788,0.312870,0.076770,0.451769,0.315995
11,0.055584,0.517128,0.091878,0.419371,0.311199,0.075912,0.425063,0.304574
12,0.052109,0.518945,0.094616,0.378927,0.288417,0.078296,0.407866,0.298112
13,0.051192,0.521673,0.095258,0.403425,0.303542,0.078607,0.416147,0.298226
14,0.048792,0.531269,0.095377,0.413944,0.313065,0.079014,0.422907,0.307120
15,0.045314,0.530880,0.096076,0.388465,0.291466,0.080939,0.407845,0.300550
16,0.043341,0.537387,0.099506,0.382250,0.293958,0.084863,0.403461,0.292398
17,0.043311,0.542998,0.097320,0.390129,0.295550,0.086322,0.408517,0.297169
18,0.041272,0.537439,0.103489,0.375698,0.283254,0.084438,0.398031,0.285857
19,0.038906,0.539836,0.106300,0.414264,0.306039,0.091420,0.415003,0.283962
20,0.036675,0.541720,0.107042,0.381662,0.285039,0.090809,0.400624,0.282130
21,0.034122,0.558201,0.113045,0.411695,0.298130,0.095069,0.445636,0.297573
22,0.033864,0.564000,0.125521,0.341130,0.255806,0.095332,0.357793,0.270606
23,0.032204,0.555846,0.114906,0.410814,0.304521,0.099448,0.407825,0.281832
24,0.030239,0.569503,0.126396,0.414019,0.300339,0.102909,0.423643,0.287025
