epoch,train_loss,train_wf1,dev_loss,dev_wf1,dev_uf1,test_loss,test_wf1,test_uf1
0,1.576294,0.318626,1.529856,0.275098,0.108891,1.445517,0.325036,0.105388
1,1.470330,0.379985,1.489518,0.318008,0.150728,1.424969,0.368576,0.146302
2,1.418808,0.418661,1.426505,0.405804,0.231448,1.373884,0.433872,0.212317
3,1.400531,0.429985,1.419492,0.437831,0.258690,1.384219,0.441186,0.220605
4,1.351119,0.455221,1.391002,0.459696,0.288401,1.376450,0.458849,0.249834
5,1.327594,0.482376,1.376348,0.450771,0.276863,1.355950,0.453553,0.237278
6,0.964122,0.490579,1.012956,0.477618,0.314631,1.020780,0.468539,0.263624
7,0.665326,0.510112,0.713522,0.464720,0.297849,0.707308,0.462061,0.255812
8,0.424412,0.520797,0.467590,0.485068,0.326785,0.462111,0.476999,0.274994
9,0.226487,0.553800,0.266790,0.480760,0.324832,0.261392,0.478853,0.283204
10,0.065615,0.501515,0.083496,0.428812,0.335696,0.074657,0.440884,0.303728
11,0.061624,0.504470,0.082985,0.398853,0.313863,0.075003,0.412004,0.293255
12,0.059570,0.500781,0.080268,0.403902,0.319560,0.075116,0.419984,0.297102
13,0.058019,0.496722,0.083581,0.392526,0.315755,0.076412,0.409023,0.287307
14,0.056470,0.495456,0.092065,0.353221,0.298629,0.079726,0.363741,0.263162
15,0.055110,0.491054,0.085244,0.415846,0.319693,0.077773,0.429610,0.300593
16,0.054256,0.490303,0.089849,0.339699,0.287513,0.078890,0.354319,0.276129
17,0.053006,0.482680,0.086901,0.383979,0.303966,0.080405,0.406706,0.290161
18,0.050573,0.493079,0.089598,0.371406,0.299090,0.081416,0.391317,0.278144
19,0.050524,0.492669,0.090682,0.331344,0.275949,0.078170,0.358826,0.271116
20,0.047947,0.494837,0.092723,0.386930,0.305120,0.086060,0.409290,0.281272
21,0.046562,0.498563,0.093204,0.342236,0.287801,0.084993,0.374214,0.283135
22,0.043652,0.502730,0.098508,0.332370,0.275995,0.087805,0.347135,0.263016
23,0.043584,0.502194,0.099797,0.400113,0.307578,0.093633,0.401701,0.279302
24,0.043898,0.494138,0.091258,0.375516,0.297661,0.091590,0.391204,0.273238
