epoch,train_loss,train_wf1,dev_loss,dev_wf1,dev_uf1,test_loss,test_wf1,test_uf1
0,1.566921,0.335487,1.531946,0.344646,0.168787,1.425626,0.381956,0.156246
1,1.456574,0.392840,1.441054,0.403875,0.230666,1.386584,0.441449,0.217546
2,1.397080,0.429367,1.406243,0.425952,0.263645,1.367568,0.448894,0.242043
3,1.360799,0.457421,1.445420,0.420252,0.242640,1.382765,0.436822,0.216524
4,1.328920,0.476947,1.438790,0.417366,0.243038,1.382841,0.437777,0.223163
5,1.307207,0.487320,1.375150,0.468442,0.310075,1.365415,0.479848,0.282023
6,0.933682,0.510502,1.011404,0.448777,0.279290,0.997407,0.475245,0.266840
7,0.643939,0.526277,0.730170,0.457069,0.290215,0.704080,0.452595,0.248847
8,0.403382,0.546754,0.481220,0.482880,0.321674,0.468435,0.476052,0.272505
9,0.210021,0.575259,0.279687,0.474241,0.321922,0.272685,0.485986,0.289522
10,0.054076,0.546743,0.086911,0.407873,0.308842,0.078428,0.408870,0.288243
11,0.049271,0.545134,0.085360,0.410583,0.307280,0.077533,0.420124,0.293451
12,0.045315,0.549099,0.090545,0.410924,0.318063,0.085586,0.417270,0.287581
13,0.041643,0.555045,0.087357,0.406810,0.320593,0.086018,0.421807,0.295127
14,0.038519,0.560401,0.097668,0.416377,0.325849,0.088511,0.410648,0.286829
15,0.036803,0.561833,0.102838,0.392238,0.303857,0.091403,0.398293,0.279953
16,0.033272,0.571431,0.103071,0.386993,0.304939,0.093073,0.372311,0.265658
17,0.032373,0.572099,0.109844,0.393654,0.304044,0.093720,0.382524,0.266931
18,0.030171,0.582191,0.111685,0.401081,0.303977,0.100772,0.397557,0.268903
19,0.030373,0.576964,0.109786,0.407606,0.326844,0.107666,0.388489,0.277440
20,0.026151,0.591084,0.120041,0.409391,0.325710,0.114060,0.404607,0.285650
21,0.024649,0.603194,0.120342,0.388881,0.299562,0.114321,0.394638,0.268851
22,0.020887,0.631708,0.134513,0.417625,0.312505,0.118700,0.423607,0.282052
23,0.020941,0.637126,0.135389,0.401782,0.299196,0.121808,0.431833,0.297184
24,0.020674,0.630426,0.136327,0.414249,0.311853,0.132010,0.412951,0.274871
25,0.021197,0.633294,0.145632,0.389603,0.294603,0.131777,0.397516,0.271732
26,0.020057,0.639730,0.138503,0.390694,0.301478,0.128132,0.405324,0.272774
27,0.016973,0.659783,0.139599,0.401653,0.307218,0.132439,0.402249,0.278885
28,0.014533,0.685908,0.153766,0.386272,0.294674,0.143309,0.398142,0.267801
29,0.016098,0.677776,0.152282,0.378958,0.285993,0.139573,0.412324,0.277846
30,0.017582,0.660324,0.151733,0.388529,0.303178,0.134646,0.402186,0.283377
31,0.015954,0.676553,0.150717,0.392274,0.281390,0.136200,0.417687,0.278069
32,0.015777,0.675356,0.162902,0.398472,0.310604,0.141988,0.402290,0.264386
33,0.014282,0.684551,0.164743,0.404279,0.299252,0.144308,0.406427,0.276335
34,0.015253,0.679725,0.158099,0.374660,0.281992,0.151949,0.391055,0.268124
35,0.013067,0.698638,0.168405,0.411088,0.302328,0.157147,0.427097,0.276846
36,0.011674,0.724154,0.180378,0.393933,0.289198,0.158653,0.410374,0.271770
37,0.011642,0.722519,0.172364,0.400797,0.299725,0.165015,0.410936,0.264049
38,0.014014,0.707525,0.177274,0.368774,0.273316,0.159192,0.368953,0.247927
39,0.013972,0.685593,0.172106,0.395855,0.291836,0.153336,0.402490,0.269370
40,0.011784,0.720546,0.169654,0.393685,0.297782,0.160393,0.406534,0.272414
41,0.009945,0.750838,0.193522,0.419289,0.294053,0.168658,0.431555,0.265425
42,0.009039,0.752053,0.178111,0.411201,0.303245,0.166734,0.422566,0.272638
43,0.007603,0.776485,0.191619,0.410952,0.300947,0.180963,0.418575,0.274436
44,0.008237,0.767946,0.192581,0.430135,0.321760,0.176802,0.432062,0.286933
45,0.010011,0.759550,0.191159,0.387955,0.288800,0.173014,0.423308,0.264138
46,0.017250,0.680629,0.164121,0.410090,0.304710,0.152848,0.423570,0.270556
47,0.013282,0.706204,0.166780,0.423319,0.334152,0.153383,0.428698,0.275677
48,0.009571,0.751800,0.177723,0.401981,0.303949,0.156205,0.413567,0.277251
49,0.010915,0.743289,0.184529,0.416787,0.295810,0.169196,0.428283,0.270631
50,0.008251,0.774234,0.176284,0.391755,0.285813,0.168958,0.405859,0.273688
51,0.008818,0.762746,0.194357,0.420444,0.298479,0.175450,0.427336,0.282454
52,0.007140,0.779580,0.190496,0.412605,0.291052,0.179917,0.434732,0.276042
53,0.005794,0.814594,0.198847,0.425934,0.308153,0.181798,0.418272,0.263501
54,0.006041,0.809968,0.208441,0.441820,0.319904,0.190864,0.420337,0.270624
55,0.006595,0.809223,0.208161,0.412489,0.298606,0.192532,0.422118,0.272611
56,0.006492,0.804147,0.214141,0.427120,0.299242,0.191062,0.442295,0.286241
57,0.005187,0.831504,0.206968,0.402083,0.291408,0.194077,0.425377,0.285239
58,0.006399,0.817098,0.203090,0.426132,0.313199,0.185413,0.436562,0.284140
59,0.009692,0.780182,0.201875,0.419190,0.296731,0.182343,0.416607,0.261208
