epoch,train_loss,train_wf1,dev_loss,dev_wf1,dev_uf1,test_loss,test_wf1,test_uf1
0,1.583873,0.324576,1.555997,0.274442,0.106714,1.453871,0.328003,0.106531
1,1.483100,0.386507,1.454611,0.387444,0.212030,1.390166,0.413972,0.188762
2,1.428220,0.419595,1.423486,0.395981,0.222587,1.366241,0.421299,0.201993
3,1.377878,0.444537,1.411223,0.387657,0.213627,1.360411,0.414707,0.192698
4,1.354477,0.462206,1.379059,0.438822,0.267633,1.358601,0.446251,0.237322
5,1.317221,0.487660,1.463811,0.425709,0.254118,1.438072,0.441850,0.231152
6,0.951898,0.502864,1.008505,0.449123,0.279752,0.987059,0.462108,0.251484
7,0.658558,0.518019,0.728975,0.462509,0.292366,0.710781,0.484612,0.275440
8,0.417396,0.542073,0.481494,0.455627,0.288268,0.468868,0.472694,0.264442
9,0.225596,0.556557,0.275001,0.483900,0.337120,0.267681,0.499180,0.313535
10,0.063818,0.514543,0.083180,0.406617,0.311301,0.074903,0.432275,0.310238
11,0.059613,0.510715,0.083934,0.394083,0.315582,0.076255,0.385608,0.288262
12,0.058510,0.495253,0.086073,0.400141,0.315427,0.077390,0.412580,0.298011
13,0.056354,0.512218,0.086250,0.388494,0.310636,0.077295,0.391514,0.292002
14,0.055134,0.486160,0.087292,0.406431,0.316498,0.077634,0.425445,0.304769
15,0.053673,0.495162,0.089704,0.396903,0.304213,0.078643,0.415486,0.290813
16,0.051940,0.505345,0.083265,0.341710,0.276022,0.080175,0.351426,0.271301
17,0.051453,0.497644,0.092870,0.421944,0.319836,0.081860,0.446838,0.298821
18,0.049345,0.494111,0.091241,0.349365,0.285320,0.081561,0.382763,0.284138
19,0.047931,0.505044,0.090746,0.384344,0.281479,0.084257,0.420794,0.286122
20,0.046798,0.500558,0.093291,0.385416,0.300089,0.084344,0.400774,0.287956
21,0.047093,0.500502,0.092152,0.351538,0.277650,0.085847,0.366546,0.275668
22,0.042616,0.515651,0.099063,0.343040,0.263768,0.083201,0.362448,0.275683
23,0.043079,0.499665,0.103154,0.364879,0.279793,0.091570,0.389230,0.282791
24,0.039880,0.514224,0.105012,0.363473,0.288774,0.094156,0.366493,0.271844
