epoch,train_loss,train_wf1,dev_loss,dev_wf1,dev_uf1,test_loss,test_wf1,test_uf1
0,1.798629,0.211867,1.701600,0.229784,0.181761,1.698500,0.162076,0.128130
1,1.667440,0.264152,1.520055,0.325611,0.271179,1.521560,0.317019,0.280573
2,1.559376,0.327301,1.511978,0.409266,0.380225,1.507636,0.368073,0.346862
3,1.428206,0.407416,1.408064,0.408687,0.391011,1.304232,0.514270,0.471216
4,1.342451,0.449095,1.276058,0.454576,0.425418,1.190050,0.561800,0.513159
5,1.236531,0.518278,1.263304,0.424430,0.417666,1.208338,0.543851,0.495901
6,0.867033,0.540530,0.885293,0.476573,0.455215,0.803217,0.581232,0.529875
7,0.580876,0.545624,0.609243,0.490655,0.470007,0.544569,0.582888,0.533997
8,0.370182,0.569311,0.378655,0.535346,0.533232,0.377929,0.534983,0.509527
9,0.205702,0.590558,0.227552,0.507211,0.501520,0.225663,0.554469,0.532957
10,0.077594,0.593197,0.081194,0.556500,0.562627,0.091720,0.512829,0.490973
11,0.074280,0.600587,0.083156,0.563814,0.557264,0.080556,0.594787,0.560051
12,0.068609,0.613991,0.079381,0.586277,0.585169,0.084345,0.556643,0.521319
13,0.067916,0.619524,0.077464,0.572657,0.569351,0.086019,0.558570,0.530700
14,0.065520,0.625544,0.078358,0.544334,0.553664,0.087671,0.536469,0.512864
15,0.065898,0.614237,0.076230,0.584271,0.579108,0.085265,0.570602,0.541668
16,0.062999,0.622448,0.077871,0.547560,0.555340,0.085684,0.551011,0.528747
17,0.062748,0.641805,0.077432,0.571848,0.568918,0.085904,0.557200,0.534349
18,0.059337,0.644791,0.077373,0.572101,0.573407,0.091772,0.532296,0.509641
19,0.060610,0.645536,0.075286,0.561918,0.561339,0.090630,0.519085,0.503523
20,0.062167,0.639050,0.081525,0.534149,0.537430,0.096626,0.489472,0.474787
21,0.057858,0.665154,0.078157,0.574066,0.569375,0.083483,0.567323,0.542359
22,0.055732,0.655553,0.076442,0.579684,0.581798,0.087956,0.552215,0.531089
23,0.053340,0.675658,0.069960,0.561512,0.553172,0.091284,0.544802,0.523732
24,0.054645,0.663739,0.076125,0.549251,0.549617,0.088052,0.548189,0.529480
