epoch,train_loss,train_wf1,dev_loss,dev_wf1,dev_uf1,test_loss,test_wf1,test_uf1
0,1.845043,0.191899,1.649007,0.274611,0.232560,1.670588,0.222343,0.176779
1,1.717569,0.246613,1.542670,0.266863,0.267897,1.570639,0.297561,0.262975
2,1.606688,0.318233,1.493848,0.275932,0.260456,1.591959,0.210378,0.176109
3,1.502061,0.361624,1.420530,0.292954,0.290989,1.410469,0.372549,0.358053
4,1.439648,0.381391,1.270353,0.394362,0.380423,1.231729,0.466971,0.439555
5,1.313955,0.433186,1.270790,0.440620,0.428155,1.283607,0.428575,0.426391
6,0.942614,0.470076,0.887366,0.453772,0.433258,0.937477,0.413087,0.398536
7,0.609696,0.490334,0.578016,0.510878,0.482885,0.598495,0.491343,0.471144
8,0.385783,0.529627,0.363587,0.558803,0.519503,0.390547,0.543364,0.517671
9,0.210523,0.554312,0.225384,0.517544,0.483419,0.248284,0.446944,0.421183
10,0.090188,0.541236,0.087050,0.568615,0.547005,0.100238,0.503016,0.483319
11,0.083959,0.561013,0.098097,0.492009,0.472000,0.113483,0.459757,0.447790
12,0.081699,0.580218,0.086598,0.548145,0.528133,0.100602,0.538487,0.518350
13,0.073448,0.577656,0.082819,0.568622,0.536730,0.097418,0.544532,0.518012
14,0.075346,0.591536,0.085521,0.534949,0.514388,0.099092,0.531580,0.511602
15,0.072174,0.591271,0.081005,0.578794,0.550306,0.100138,0.525497,0.501285
16,0.068812,0.599581,0.080561,0.570461,0.544506,0.093778,0.558564,0.531623
17,0.066724,0.624426,0.081431,0.566494,0.543640,0.095893,0.545708,0.523905
18,0.064813,0.619643,0.079837,0.574510,0.551951,0.098032,0.533473,0.516577
19,0.064677,0.617196,0.080758,0.572204,0.547673,0.095078,0.543844,0.523561
20,0.065111,0.611770,0.084442,0.550024,0.533155,0.104583,0.529000,0.515244
21,0.064935,0.633578,0.078211,0.573327,0.547937,0.096857,0.546903,0.526264
22,0.061097,0.636660,0.087131,0.561613,0.535846,0.098823,0.541795,0.519643
23,0.062906,0.624289,0.080583,0.575789,0.552366,0.097052,0.539738,0.521955
24,0.060928,0.628290,0.082719,0.585796,0.567392,0.098803,0.526600,0.507481
