epoch,train_loss,train_wf1,dev_loss,dev_wf1,dev_uf1,test_loss,test_wf1,test_uf1
0,1.854811,0.203514,1.742986,0.084617,0.064828,1.765918,0.106438,0.080988
1,1.754591,0.229145,1.632767,0.155749,0.116501,1.634566,0.152912,0.110582
2,1.652289,0.275169,1.531899,0.284017,0.268625,1.525086,0.305050,0.259317
3,1.532733,0.343348,1.409994,0.408171,0.374649,1.393729,0.473293,0.431521
4,1.432052,0.426895,1.367861,0.421722,0.380614,1.349675,0.494150,0.437294
5,1.323369,0.471111,1.297440,0.462568,0.420587,1.260556,0.486539,0.449019
6,0.936569,0.490492,0.999189,0.420964,0.387957,0.976990,0.460483,0.438350
7,0.629309,0.524558,0.647255,0.487574,0.447297,0.634321,0.522878,0.492707
8,0.393075,0.553643,0.427023,0.491260,0.449757,0.410025,0.556081,0.531566
9,0.217219,0.578052,0.247831,0.506375,0.463650,0.230364,0.597195,0.566117
10,0.087074,0.576755,0.104323,0.508033,0.488933,0.100808,0.568281,0.549767
11,0.082227,0.589312,0.099430,0.523350,0.490461,0.098317,0.589381,0.564444
12,0.079235,0.612616,0.099721,0.523762,0.511813,0.093631,0.595146,0.571415
13,0.075614,0.622093,0.098519,0.541425,0.526836,0.095672,0.588028,0.567089
14,0.075354,0.627584,0.098357,0.535163,0.526095,0.091653,0.596102,0.575043
15,0.072424,0.614454,0.094274,0.549851,0.538956,0.094176,0.588999,0.571094
16,0.072173,0.624563,0.092758,0.534156,0.532110,0.091441,0.582987,0.566768
17,0.068125,0.646791,0.096708,0.553422,0.543385,0.095385,0.593703,0.575869
18,0.067234,0.639740,0.091128,0.550267,0.544975,0.091184,0.592583,0.575525
19,0.067070,0.638043,0.087423,0.543498,0.542278,0.093856,0.575334,0.565203
20,0.065318,0.644100,0.088632,0.572970,0.563751,0.095132,0.578252,0.566361
21,0.063618,0.650986,0.083979,0.569875,0.562024,0.095961,0.577760,0.565940
22,0.064424,0.646348,0.086961,0.518780,0.530740,0.093107,0.557750,0.550728
23,0.062134,0.660407,0.084200,0.555355,0.558349,0.095699,0.556981,0.548458
24,0.059713,0.655481,0.086505,0.581005,0.576221,0.095129,0.557338,0.546815
