epoch,train_loss,train_wf1,dev_loss,dev_wf1,dev_uf1,test_loss,test_wf1,test_uf1
0,1.566921,0.335487,1.531946,0.344646,0.168787,1.425626,0.381956,0.156246
1,1.456574,0.392840,1.441054,0.403875,0.230666,1.386584,0.441449,0.217546
2,1.397080,0.429367,1.406243,0.425952,0.263645,1.367568,0.448894,0.242043
3,1.360799,0.457421,1.445420,0.420252,0.242640,1.382765,0.436822,0.216524
4,1.328920,0.476947,1.438790,0.417366,0.243038,1.382841,0.437777,0.223163
5,1.307207,0.487320,1.375150,0.468442,0.310075,1.365415,0.479848,0.282023
6,0.933682,0.510502,1.011404,0.448777,0.279290,0.997407,0.475245,0.266840
7,0.643939,0.526277,0.730170,0.457069,0.290215,0.704080,0.452595,0.248847
8,0.403382,0.546754,0.481220,0.482880,0.321674,0.468435,0.476052,0.272505
9,0.210021,0.575259,0.279687,0.474241,0.321922,0.272685,0.485986,0.289522
10,0.054076,0.546743,0.086911,0.407873,0.308842,0.078428,0.408870,0.288243
11,0.049271,0.545134,0.085360,0.410583,0.307280,0.077533,0.420124,0.293451
12,0.045315,0.549099,0.090545,0.410924,0.318063,0.085586,0.417270,0.287581
13,0.041643,0.555045,0.087357,0.406810,0.320593,0.086018,0.421807,0.295127
14,0.038519,0.560401,0.097668,0.416377,0.325849,0.088511,0.410648,0.286829
15,0.036803,0.561833,0.102838,0.392238,0.303857,0.091403,0.398293,0.279953
16,0.033272,0.571431,0.103071,0.386993,0.304939,0.093073,0.372311,0.265658
17,0.032373,0.572099,0.109844,0.393654,0.304044,0.093720,0.382524,0.266931
18,0.030171,0.582191,0.111685,0.401081,0.303977,0.100772,0.397557,0.268903
19,0.030373,0.576964,0.109786,0.407606,0.326844,0.107666,0.388489,0.277440
20,0.026151,0.591084,0.120041,0.409391,0.325710,0.114060,0.404607,0.285650
21,0.024649,0.603194,0.120342,0.388881,0.299562,0.114321,0.394638,0.268851
22,0.020887,0.631708,0.134513,0.417625,0.312505,0.118700,0.423607,0.282052
23,0.020941,0.637126,0.135389,0.401782,0.299196,0.121808,0.431833,0.297184
24,0.020674,0.630426,0.136327,0.414249,0.311853,0.132010,0.412951,0.274871
