config,WA,WF1,UF1
full,0.5154083204930663,0.493613771329566,0.30107976082426935
no_path_a,0.4803543913713405,0.35078125736572363,0.13385604039036667
no_path_b,0.515793528505393,0.47699868936308576,0.27499354241923474
no_paths,0.5181047765793528,0.48718175673522557,0.28795730499337296
no_cross_modal,0.5196456086286595,0.49918031451270595,0.3135348466961133
no_speaker_emb,0.523497688751926,0.49743571526787744,0.30802905161370103
d=32,0.5080893682588598,0.47590887047370023,0.2768752888756839
d=128,0.5096302003081664,0.4760515954990416,0.2725046568929389
