epoch,train_loss,train_wf1,dev_loss,dev_wf1,dev_uf1,test_loss,test_wf1,test_uf1
0,1.888522,0.192732,1.742679,0.139029,0.128123,1.712755,0.177871,0.143014
1,1.752094,0.223356,1.562164,0.245922,0.253536,1.606037,0.250768,0.232688
2,1.582312,0.300104,1.517818,0.291915,0.278391,1.546773,0.319073,0.271104
3,1.500638,0.346997,1.441581,0.313925,0.300245,1.465254,0.400985,0.376119
4,1.407590,0.407587,1.264119,0.431890,0.421779,1.277395,0.469282,0.452289
5,1.250022,0.464031,1.228351,0.459787,0.429212,1.254636,0.467344,0.432024
6,0.874981,0.515265,1.110062,0.312126,0.317568,1.165082,0.326782,0.324269
7,0.636114,0.509736,0.556335,0.532668,0.505718,0.635869,0.502624,0.485603
8,0.380238,0.541349,0.350613,0.579011,0.536700,0.392804,0.579968,0.540994
9,0.203047,0.564135,0.228379,0.512908,0.488502,0.252919,0.536160,0.503937
10,0.084443,0.562748,0.087285,0.549798,0.529000,0.109702,0.496210,0.486785
11,0.074855,0.593804,0.085420,0.558668,0.542555,0.099666,0.557601,0.534757
12,0.069568,0.615207,0.081803,0.557564,0.540046,0.098786,0.537526,0.520920
13,0.066354,0.594039,0.082906,0.572743,0.548710,0.100017,0.552227,0.532523
14,0.067209,0.627117,0.084298,0.572418,0.550843,0.098631,0.565549,0.545633
15,0.062951,0.626699,0.080799,0.581108,0.558609,0.102938,0.542880,0.527633
16,0.061412,0.632099,0.081028,0.583394,0.559050,0.096084,0.587267,0.567480
17,0.060532,0.656076,0.080188,0.581219,0.561175,0.094567,0.574395,0.555281
18,0.058229,0.643953,0.080142,0.591781,0.571592,0.098671,0.571106,0.553645
19,0.058046,0.659779,0.078628,0.575192,0.557302,0.098136,0.544688,0.533424
20,0.057524,0.650155,0.076767,0.581446,0.562556,0.096542,0.563304,0.547803
21,0.057596,0.636293,0.082277,0.563744,0.543499,0.105240,0.552383,0.528002
22,0.057842,0.639428,0.081905,0.580107,0.560221,0.097603,0.580190,0.562315
23,0.056371,0.650683,0.078676,0.601003,0.579886,0.099202,0.566620,0.550559
24,0.054042,0.674265,0.089418,0.598071,0.572493,0.102762,0.562809,0.548961
