epoch,train_loss,train_wf1,dev_loss,dev_wf1,dev_uf1,test_loss,test_wf1,test_uf1
0,1.829448,0.213999,1.756617,0.229140,0.187340,1.729761,0.193264,0.152146
1,1.645579,0.275015,1.521792,0.334309,0.334454,1.466104,0.410482,0.384678
2,1.443689,0.383669,1.382079,0.393313,0.344160,1.438132,0.385641,0.354173
3,1.333141,0.459157,1.396111,0.405962,0.393605,1.294314,0.490845,0.448022
4,1.230149,0.506160,1.290146,0.430494,0.427660,1.176991,0.500040,0.468819
5,1.133394,0.542742,1.184539,0.476762,0.457847,1.169964,0.549127,0.499592
6,0.788312,0.565626,0.852654,0.498966,0.474692,0.782747,0.572212,0.522514
7,0.495945,0.604185,0.588654,0.513900,0.489284,0.547927,0.585539,0.542562
8,0.328485,0.604196,0.428537,0.505872,0.469074,0.389667,0.566931,0.512817
9,0.178102,0.612861,0.233940,0.517705,0.504572,0.224113,0.548740,0.529184
10,0.068095,0.603881,0.091027,0.500602,0.509732,0.106587,0.482949,0.473155
11,0.068440,0.612254,0.086356,0.552056,0.545223,0.099476,0.565565,0.537404
12,0.062892,0.633106,0.083086,0.553826,0.551247,0.093445,0.571361,0.544734
13,0.059467,0.641109,0.085052,0.570480,0.569191,0.097840,0.568906,0.537798
14,0.054659,0.666461,0.080866,0.555010,0.550869,0.091713,0.542464,0.518003
15,0.054402,0.657944,0.077236,0.585225,0.577258,0.090170,0.568375,0.541102
16,0.052215,0.675948,0.077666,0.572599,0.568887,0.096112,0.536829,0.508849
17,0.050931,0.677028,0.079611,0.548539,0.546110,0.099909,0.517501,0.500019
18,0.052954,0.665402,0.076877,0.580477,0.573155,0.099555,0.533365,0.508402
19,0.050679,0.685196,0.076073,0.570547,0.572675,0.103533,0.529815,0.509138
20,0.050084,0.674947,0.086399,0.550461,0.531617,0.119999,0.515729,0.492433
21,0.052624,0.670550,0.082374,0.564297,0.571556,0.109037,0.521275,0.497123
22,0.044921,0.709477,0.075391,0.584201,0.577056,0.097879,0.556032,0.533517
23,0.045477,0.699581,0.075299,0.588695,0.574331,0.098957,0.555760,0.530768
24,0.043941,0.708215,0.078570,0.570331,0.562797,0.105948,0.538367,0.516675
