epoch,train_loss,train_wf1,dev_loss,dev_wf1,dev_uf1,test_loss,test_wf1,test_uf1
0,1.888816,0.195359,1.690455,0.081422,0.060813,1.713543,0.090638,0.063809
1,1.705755,0.249793,1.518269,0.356626,0.333445,1.551411,0.375037,0.347631
2,1.535493,0.332767,1.502347,0.358179,0.319507,1.532665,0.330302,0.316215
3,1.467542,0.359052,1.339903,0.389760,0.367232,1.311540,0.440962,0.413313
4,1.355142,0.447279,1.312632,0.460612,0.414699,1.213615,0.530424,0.485545
5,1.291717,0.462102,1.291013,0.449029,0.413098,1.192841,0.475504,0.449281
6,0.856344,0.519330,0.971279,0.446505,0.407942,0.911333,0.473405,0.447146
7,0.561287,0.550370,0.664818,0.486380,0.444214,0.651937,0.514725,0.476844
8,0.356735,0.571009,0.427211,0.511757,0.463701,0.374371,0.553979,0.519664
9,0.194461,0.596838,0.247236,0.537859,0.511425,0.218268,0.582433,0.556147
10,0.080129,0.592274,0.101981,0.524086,0.505344,0.086975,0.566666,0.550419
11,0.075103,0.624171,0.099558,0.508873,0.477684,0.090189,0.565461,0.529539
12,0.070724,0.624470,0.099490,0.551900,0.530567,0.084199,0.579358,0.560747
13,0.065868,0.635168,0.100003,0.521593,0.491601,0.088080,0.572645,0.532803
14,0.066512,0.641615,0.101413,0.554913,0.537249,0.082675,0.594839,0.562916
15,0.063686,0.631624,0.101557,0.563762,0.550468,0.081638,0.609440,0.577410
16,0.062917,0.653284,0.096528,0.546428,0.539631,0.082298,0.576957,0.540920
17,0.059205,0.664214,0.095693,0.573408,0.559774,0.082871,0.594360,0.564587
18,0.057388,0.667868,0.097837,0.566366,0.561142,0.085148,0.586869,0.555811
19,0.056945,0.654469,0.093716,0.541055,0.540073,0.085200,0.574723,0.551969
20,0.055704,0.682066,0.093334,0.568572,0.567499,0.086849,0.564378,0.534691
21,0.054374,0.660935,0.092284,0.571268,0.563543,0.090244,0.571279,0.547999
22,0.052519,0.683947,0.098887,0.535151,0.537047,0.086322,0.581835,0.566648
23,0.052859,0.670295,0.097913,0.558971,0.555243,0.088435,0.602029,0.575852
24,0.053198,0.677003,0.095803,0.562357,0.551984,0.084388,0.599146,0.581540
