epoch,train_loss,train_wf1,dev_loss,dev_wf1,dev_uf1,test_loss,test_wf1,test_uf1
0,1.600891,0.312801,1.656040,0.251347,0.084913,1.546877,0.312575,0.092811
1,1.554329,0.302981,1.661261,0.259678,0.092047,1.553294,0.317991,0.097718
2,1.535620,0.310494,1.634717,0.253071,0.086614,1.512951,0.317397,0.097105
3,1.517225,0.317633,1.590159,0.255272,0.088437,1.492365,0.318957,0.098733
4,1.511134,0.324693,1.608500,0.255575,0.088743,1.504355,0.315102,0.095125
5,1.499920,0.327938,1.590312,0.262503,0.095051,1.485681,0.323084,0.102599
6,1.105020,0.346600,1.185938,0.274347,0.108452,1.101311,0.338507,0.117337
7,0.787281,0.352051,0.852130,0.272085,0.105493,0.790197,0.324323,0.105160
8,0.517091,0.359526,0.564870,0.308205,0.141043,0.516713,0.350781,0.133856
9,0.287392,0.382856,0.320663,0.303155,0.137031,0.292165,0.358104,0.136842
10,0.082002,0.348208,0.094385,0.252627,0.195276,0.081223,0.293319,0.205222
11,0.078839,0.292520,0.094009,0.243019,0.186303,0.082253,0.277129,0.193957
12,0.078719,0.293575,0.094829,0.232220,0.183514,0.081580,0.272547,0.195089
13,0.078049,0.274313,0.093621,0.251101,0.203104,0.082058,0.280452,0.198799
14,0.076662,0.300310,0.096057,0.245356,0.192766,0.083721,0.261599,0.189388
15,0.076151,0.284609,0.098866,0.271922,0.202959,0.083442,0.284323,0.192549
16,0.076166,0.284699,0.093614,0.234600,0.198169,0.083176,0.251049,0.184051
17,0.075639,0.286874,0.095082,0.231371,0.190512,0.083382,0.249129,0.188217
18,0.075008,0.264102,0.096954,0.262801,0.202564,0.086713,0.265726,0.184724
19,0.074252,0.283378,0.097507,0.219224,0.185827,0.084376,0.228065,0.171470
20,0.073478,0.276664,0.100460,0.249134,0.195206,0.085028,0.252711,0.182148
21,0.071429,0.281488,0.100073,0.232879,0.193256,0.086097,0.246580,0.177226
22,0.072377,0.285940,0.097704,0.236530,0.198685,0.086659,0.234815,0.171739
23,0.071589,0.287649,0.096430,0.232307,0.187234,0.084549,0.270579,0.190187
24,0.071539,0.269857,0.098604,0.236157,0.200561,0.085709,0.253455,0.189310
