epoch,train_loss,train_wf1,dev_loss,dev_wf1,dev_uf1,test_loss,test_wf1,test_uf1,ce,fc,cl
0,2.677973,0.173906,1.888998,0.028521,0.037725,1.833947,0.061395,0.054816,2.585915,0.000000,4.602902
1,2.098522,0.152337,1.785393,0.066284,0.064425,1.815027,0.066152,0.067288,1.916769,0.000000,4.543818
2,2.042847,0.203487,1.630836,0.236018,0.185776,1.734384,0.191556,0.173074,1.780952,0.000000,4.364903
3,1.981495,0.254833,1.440961,0.308346,0.274533,1.578617,0.289481,0.276445,1.649284,0.000000,4.152639
4,1.918682,0.350841,1.439535,0.268816,0.238403,1.526436,0.337132,0.332682,1.510916,0.000000,4.077654
5,1.766985,0.395956,1.321069,0.415027,0.376436,1.353530,0.418971,0.410722,1.361883,0.000000,4.051019
6,1.734168,0.420043,1.350282,0.410460,0.364244,1.463830,0.426619,0.420142,1.331022,0.000000,4.031460
7,1.710932,0.448030,1.309596,0.436280,0.403338,1.242838,0.492311,0.467961,1.308824,0.000000,4.021086
8,1.620707,0.471861,1.242634,0.487826,0.452075,1.224592,0.510145,0.476357,1.218915,0.000000,4.017926
9,1.528578,0.518528,1.224121,0.478455,0.444292,1.099473,0.529704,0.502750,1.128458,0.000000,4.001196
10,1.494482,0.519394,1.147740,0.514027,0.534527,1.041568,0.522465,0.527967,1.096009,0.000000,3.984730
11,1.458609,0.538744,1.337460,0.398031,0.406671,1.231615,0.438228,0.438980,1.060937,0.000000,3.976720
12,1.435492,0.560563,1.179477,0.525507,0.508129,1.111664,0.548457,0.531171,1.038089,0.000000,3.974029
13,1.452691,0.553642,1.148348,0.558349,0.549856,1.055156,0.582964,0.575000,1.056028,0.000000,3.966629
14,1.404454,0.558465,1.113117,0.544493,0.512431,1.152349,0.568457,0.535215,1.008612,0.000000,3.958422
15,1.361134,0.575093,1.094314,0.558411,0.577728,1.008041,0.577438,0.566505,0.965077,0.000000,3.960571
16,1.313086,0.610440,1.075922,0.535174,0.521802,1.090929,0.519261,0.502613,0.918544,0.000000,3.945416
17,1.292069,0.613374,1.049452,0.583828,0.591015,1.027820,0.543924,0.533142,0.898468,0.000000,3.936008
18,1.265551,0.630334,1.046474,0.579120,0.560651,1.074323,0.568243,0.555689,0.872323,0.000000,3.932281
19,1.228040,0.638119,1.135320,0.538012,0.564976,1.000650,0.589698,0.587810,0.835689,0.000000,3.923505
20,1.230896,0.642890,1.045562,0.551236,0.574437,1.064721,0.563076,0.556274,0.839281,0.000000,3.916153
21,1.201002,0.646450,1.007004,0.578217,0.560318,0.986912,0.614495,0.588038,0.809896,0.000000,3.911056
22,1.166605,0.671364,1.065613,0.589694,0.609961,0.991703,0.590832,0.581208,0.775823,0.000000,3.907818
23,1.156327,0.669945,1.050861,0.561147,0.547876,1.113787,0.592589,0.562028,0.766230,0.000000,3.900971
24,1.168635,0.656172,1.024823,0.576178,0.597718,0.998070,0.594799,0.580832,0.779136,0.000000,3.894987
25,1.124145,0.691099,1.032124,0.584799,0.596888,0.930378,0.625874,0.611855,0.735197,0.000000,3.889481
26,1.095412,0.701875,1.021716,0.598869,0.609016,1.035700,0.599464,0.578576,0.706783,0.000000,3.886287
27,1.075024,0.714042,1.041335,0.593667,0.610165,0.955556,0.633678,0.621395,0.686875,0.000000,3.881491
28,1.058393,0.721637,1.036625,0.569303,0.591490,1.048084,0.587351,0.569986,0.670822,0.000000,3.875717
29,1.070519,0.707175,0.986511,0.600414,0.607254,0.985348,0.608148,0.590027,0.683311,0.000000,3.872081
30,1.028819,0.730568,0.950996,0.625419,0.638846,1.026343,0.607270,0.593106,0.641990,0.000000,3.868287
31,1.020395,0.737427,0.977157,0.605058,0.611721,0.943305,0.629517,0.611616,0.634104,0.000000,3.862914
32,1.015340,0.738415,0.956979,0.607274,0.620315,1.042495,0.600973,0.579519,0.629359,0.000000,3.859808
33,1.007341,0.741114,0.943814,0.612260,0.626344,0.986632,0.622330,0.605503,0.621542,0.000000,3.857990
34,1.003901,0.736876,0.960937,0.606090,0.620084,0.956429,0.633702,0.614546,0.618244,0.000000,3.856564
35,0.985150,0.753815,0.942902,0.614219,0.626149,1.008597,0.611948,0.593953,0.599732,0.000000,3.854178
36,0.987868,0.751629,0.957052,0.614676,0.628742,1.000582,0.616862,0.598844,0.602661,0.000000,3.852072
37,0.981527,0.752855,0.959372,0.616322,0.630229,0.990837,0.619709,0.601779,0.596361,0.000000,3.851659
38,0.980203,0.755275,0.961840,0.614572,0.629763,0.987792,0.619293,0.600953,0.595030,0.000000,3.851737
39,0.974697,0.757502,0.961125,0.616880,0.630691,0.988672,0.619807,0.601296,0.589558,0.000000,3.851387
