epoch,train_loss,train_wf1,dev_loss,dev_wf1,dev_uf1,test_loss,test_wf1,test_uf1,ce,fc,cl
0,2.263652,0.195782,1.896239,0.023187,0.034411,1.792739,0.057414,0.051910,2.172688,0.000000,4.548183
1,2.053015,0.188619,1.608528,0.234874,0.180133,1.735153,0.213718,0.181400,1.872201,0.000000,4.520373
2,1.959547,0.249260,1.462902,0.316287,0.278173,1.509981,0.355034,0.313936,1.695959,0.000000,4.393132
3,1.917495,0.290889,1.438150,0.343055,0.259771,1.543049,0.323305,0.266477,1.578591,0.000000,4.236296
4,1.957942,0.324645,1.428494,0.334279,0.338986,1.415244,0.351633,0.364337,1.544374,0.000000,4.135671
5,1.837761,0.374868,1.345699,0.379758,0.342825,1.420934,0.390160,0.367260,1.428532,0.000000,4.092294
6,1.759737,0.417747,1.246543,0.381544,0.334719,1.209455,0.456540,0.393285,1.353192,0.000000,4.065454
7,1.677343,0.482570,1.251300,0.416674,0.382808,1.093295,0.475248,0.465611,1.272880,0.000000,4.044631
8,1.624189,0.459073,1.229458,0.528564,0.502258,1.230467,0.518368,0.498008,1.220884,0.000000,4.033051
9,1.571159,0.494869,1.225568,0.510238,0.459624,1.054525,0.577439,0.536590,1.168958,0.000000,4.022005
10,1.542461,0.503017,1.261653,0.525902,0.496096,1.239105,0.522652,0.505711,1.141298,0.000000,4.011627
11,1.505258,0.527036,1.175293,0.491168,0.477330,1.012929,0.577320,0.573902,1.105419,0.000000,3.998385
12,1.452828,0.558137,1.219288,0.511561,0.489738,1.198514,0.528767,0.511026,1.054112,0.000000,3.987167
13,1.423549,0.575031,1.083116,0.554860,0.524952,0.999596,0.584128,0.559413,1.025539,0.000000,3.980107
14,1.372444,0.596450,1.050272,0.578315,0.580614,1.018803,0.575177,0.562933,0.975503,0.000000,3.969406
15,1.311478,0.608223,1.071930,0.563834,0.548346,0.963137,0.623046,0.607247,0.915517,0.000000,3.959603
16,1.298896,0.615922,1.039133,0.576785,0.579485,1.029285,0.580696,0.567038,0.904284,0.000000,3.946118
17,1.260682,0.646936,0.969924,0.599336,0.595614,0.902215,0.639472,0.622880,0.867548,0.000000,3.931334
18,1.245751,0.642594,1.004624,0.601895,0.616619,1.000210,0.594724,0.583987,0.853570,0.000000,3.921805
19,1.232117,0.648438,0.976484,0.590338,0.580140,0.972484,0.627467,0.596165,0.840270,0.000000,3.918470
20,1.179057,0.674990,0.980594,0.595600,0.597640,0.958001,0.635163,0.612490,0.788593,0.000000,3.904641
21,1.161692,0.683524,0.997606,0.597854,0.587019,1.016114,0.625327,0.597786,0.772127,0.000000,3.895654
22,1.158380,0.679168,1.025649,0.577663,0.595216,0.899856,0.650472,0.636692,0.769846,0.000000,3.885347
23,1.148960,0.688088,1.007247,0.593518,0.592118,1.013506,0.620673,0.595024,0.761182,0.000000,3.877785
24,1.129199,0.688558,0.966851,0.607867,0.601643,1.008673,0.628876,0.601778,0.742172,0.000000,3.870271
25,1.102418,0.704403,0.967450,0.604049,0.622645,0.921914,0.651031,0.633328,0.715979,0.000000,3.864384
26,1.088579,0.715185,0.941912,0.633725,0.641974,0.945550,0.638195,0.619656,0.702678,0.000000,3.859008
27,1.060926,0.724617,0.957081,0.614067,0.622108,0.955139,0.655638,0.629921,0.676048,0.000000,3.848778
28,1.051406,0.722746,0.938367,0.620067,0.625754,1.000144,0.635803,0.604505,0.666975,0.000000,3.844309
29,1.045418,0.734217,0.954074,0.625929,0.642000,0.958152,0.659624,0.639285,0.661451,0.000000,3.839673
30,1.036961,0.730931,0.964164,0.619926,0.628985,0.992967,0.633854,0.605787,0.653393,0.000000,3.835676
31,1.028249,0.733117,0.963176,0.625027,0.631470,0.973363,0.642632,0.615299,0.645096,0.000000,3.831523
32,1.018818,0.743209,0.951643,0.629693,0.646376,0.997945,0.646177,0.622430,0.635999,0.000000,3.828190
33,1.009461,0.749937,0.943158,0.634467,0.645190,0.987909,0.635929,0.607802,0.626853,0.000000,3.826081
34,1.007550,0.742822,0.952025,0.625348,0.638224,0.990741,0.642153,0.613074,0.625152,0.000000,3.823983
35,0.995310,0.742754,0.952160,0.622805,0.635685,0.979862,0.651413,0.623576,0.613043,0.000000,3.822666
36,0.998737,0.748532,0.941841,0.632454,0.642351,0.990908,0.644971,0.617439,0.616617,0.000000,3.821200
37,0.994208,0.749960,0.945803,0.631293,0.642102,0.995602,0.641455,0.612995,0.612079,0.000000,3.821281
38,0.999723,0.747822,0.947447,0.632196,0.642788,0.996944,0.640912,0.612612,0.617686,0.000000,3.820371
39,0.990339,0.752064,0.947948,0.633006,0.643447,0.996813,0.642353,0.614041,0.608417,0.000000,3.819216
