epoch,train_loss,train_wf1,dev_loss,dev_wf1,dev_uf1,test_loss,test_wf1,test_uf1
0,1.872463,0.219665,1.725949,0.147175,0.141031,1.780281,0.105574,0.121628
1,1.651640,0.283320,1.514916,0.242414,0.213447,1.477034,0.300698,0.250264
2,1.520399,0.344946,1.544844,0.267113,0.241778,1.669048,0.285652,0.275830
3,1.507807,0.322101,1.394059,0.344243,0.319765,1.374821,0.382689,0.330215
4,1.358026,0.416323,1.325259,0.436932,0.401412,1.270855,0.475585,0.449083
5,1.291385,0.446291,1.286876,0.473114,0.429542,1.179588,0.520325,0.488693
6,0.858943,0.499184,0.948023,0.425393,0.394033,0.857628,0.496465,0.467218
7,0.564846,0.538189,0.650941,0.482087,0.460986,0.591963,0.518744,0.505207
8,0.359649,0.562425,0.408524,0.502975,0.458828,0.357326,0.572873,0.542864
9,0.197895,0.580394,0.243742,0.518495,0.506982,0.197486,0.588141,0.573710
10,0.077208,0.573370,0.105529,0.495224,0.488269,0.083974,0.573899,0.560318
11,0.074946,0.590726,0.094820,0.494633,0.478653,0.081028,0.562160,0.542450
12,0.068861,0.614668,0.093730,0.540237,0.532476,0.078765,0.583261,0.568103
13,0.066888,0.615234,0.094237,0.551600,0.546125,0.079357,0.586505,0.566488
14,0.066037,0.626762,0.095773,0.549485,0.549648,0.080407,0.587067,0.569866
15,0.064005,0.614643,0.094970,0.562947,0.558484,0.081881,0.590026,0.569270
16,0.062012,0.630320,0.095810,0.547482,0.543764,0.083127,0.576726,0.562163
17,0.060756,0.628958,0.095182,0.563635,0.550470,0.083549,0.611765,0.589145
18,0.059512,0.643109,0.091103,0.557052,0.554080,0.083596,0.586631,0.570060
19,0.059270,0.640234,0.085531,0.527994,0.537226,0.083920,0.551183,0.540696
20,0.057572,0.652729,0.085035,0.573334,0.574846,0.084162,0.579723,0.564346
21,0.057107,0.646930,0.082132,0.578689,0.578940,0.081322,0.584216,0.569726
22,0.055616,0.652933,0.084720,0.548042,0.560482,0.084697,0.547290,0.537649
23,0.053141,0.662239,0.087393,0.576404,0.577032,0.090812,0.570341,0.555192
24,0.052950,0.671960,0.086990,0.558478,0.549764,0.088922,0.558797,0.548382
