epoch,train_loss,train_wf1,dev_loss,dev_wf1,dev_uf1,test_loss,test_wf1,test_uf1,ce,fc,cl
0,3.358239,0.182391,1.862011,0.050985,0.055071,1.924633,0.024767,0.037040,2.717565,0.686231,4.584496
1,2.030541,0.224559,1.636074,0.205885,0.186292,1.703513,0.186827,0.162381,1.801832,0.058597,4.545800
2,2.025090,0.251145,1.617445,0.225424,0.198623,1.680906,0.227691,0.200954,1.694487,0.082683,4.407613
3,2.112322,0.254285,1.677353,0.141342,0.168643,1.692588,0.156809,0.153898,1.678697,0.120513,4.215195
4,2.168625,0.263821,1.642779,0.254482,0.220143,1.792526,0.250151,0.216082,1.679702,0.099637,4.092130
5,2.025626,0.348657,1.631228,0.213680,0.213906,1.514839,0.298744,0.292438,1.545959,0.095619,4.031727
6,2.038543,0.365924,1.893666,0.269488,0.262867,1.617702,0.299439,0.314835,1.474776,0.203503,4.009646
7,2.124586,0.349854,1.571350,0.337027,0.338364,1.524253,0.416374,0.362704,1.551255,0.214264,4.019206
8,2.029074,0.310643,1.521329,0.345093,0.368713,1.478800,0.404732,0.403239,1.492023,0.169048,4.018124
9,1.899080,0.437616,1.473882,0.370070,0.375419,1.447628,0.326249,0.352058,1.381363,0.146157,4.007904
10,1.866181,0.414184,1.571318,0.394856,0.420353,1.475980,0.412935,0.393600,1.302409,0.205847,3.990937
11,1.853518,0.476468,1.641383,0.381667,0.406956,1.456814,0.436420,0.437498,1.245291,0.264491,3.966345
12,1.937652,0.454976,1.634013,0.353893,0.380893,1.458933,0.416603,0.417822,1.269419,0.340838,3.955636
13,1.837173,0.480360,1.448489,0.489119,0.486283,1.336749,0.542296,0.523783,1.269766,0.214383,3.959000
14,1.791842,0.494006,1.434933,0.502802,0.504662,1.283912,0.544337,0.532917,1.143156,0.317958,3.943192
15,1.756955,0.544320,1.520223,0.447865,0.475033,1.354013,0.510942,0.526133,1.104533,0.324745,3.926260
16,1.843173,0.501486,1.524158,0.465690,0.476759,1.395921,0.485143,0.475851,1.174407,0.346353,3.916835
17,1.702346,0.556154,1.365547,0.478842,0.494400,1.241131,0.530565,0.523575,1.069586,0.302583,3.906933
18,1.694483,0.567032,1.495945,0.515436,0.519635,1.288195,0.569051,0.561046,1.013726,0.364021,3.895397
19,1.673391,0.589418,1.451550,0.544598,0.543479,1.241585,0.621296,0.614780,0.978003,0.383953,3.882258
20,1.655595,0.601550,1.396073,0.501600,0.531439,1.294549,0.550412,0.544936,0.930597,0.422818,3.867434
21,1.638963,0.634428,1.460596,0.580078,0.584361,1.283647,0.633032,0.619356,0.885546,0.460415,3.850848
22,1.718469,0.641945,1.528884,0.567896,0.579911,1.380424,0.591075,0.580547,0.877878,0.572063,3.829397
23,1.704632,0.633995,1.519271,0.568480,0.586110,1.294128,0.630241,0.619313,0.854124,0.586561,3.812592
24,1.638613,0.653332,1.830336,0.534294,0.544576,1.469175,0.582195,0.571095,0.823532,0.544308,3.796338
25,1.689613,0.651601,1.553859,0.540190,0.572722,1.441694,0.590945,0.585283,0.813205,0.621924,3.788687
26,1.659046,0.659113,1.721694,0.595366,0.594491,1.403833,0.635123,0.615460,0.797172,0.605017,3.778604
27,1.662785,0.680063,1.667063,0.557686,0.582829,1.464028,0.622491,0.611201,0.769052,0.646502,3.765307
28,1.643621,0.681778,1.834062,0.533776,0.559219,1.514546,0.638449,0.634847,0.739526,0.660799,3.754559
29,1.665675,0.701369,1.779196,0.603714,0.604958,1.483038,0.648747,0.631885,0.724274,0.708086,3.749329
30,1.653572,0.696813,1.707533,0.619721,0.622029,1.548549,0.599780,0.589905,0.708669,0.713446,3.741461
31,1.650246,0.700361,1.870876,0.576905,0.590354,1.493319,0.651164,0.640724,0.708870,0.709728,3.735932
32,1.635617,0.710086,1.773596,0.625885,0.626480,1.520250,0.630130,0.618784,0.683771,0.723287,3.732162
33,1.675119,0.707595,1.834104,0.606226,0.614644,1.537304,0.661865,0.655836,0.676759,0.781823,3.729015
34,1.648514,0.726781,1.850882,0.619930,0.620988,1.559015,0.642682,0.629424,0.660726,0.769140,3.724760
35,1.663545,0.723692,1.877530,0.618702,0.621080,1.573145,0.648549,0.637584,0.656395,0.793345,3.724742
36,1.694498,0.727168,1.882917,0.619689,0.622708,1.590548,0.653922,0.644729,0.658847,0.829234,3.722640
37,1.677731,0.726976,1.897239,0.624428,0.627348,1.601016,0.653366,0.644136,0.645654,0.824914,3.721456
38,1.711281,0.733015,1.900973,0.620830,0.624429,1.602966,0.653481,0.644515,0.644409,0.868363,3.721822
39,1.697471,0.723470,1.902064,0.620830,0.624429,1.604111,0.652872,0.643744,0.639078,0.857842,3.721200
