epoch,train_loss,train_wf1,dev_loss,dev_wf1,dev_uf1,test_loss,test_wf1,test_uf1,ce,fc,cl
0,3.072708,0.184769,1.956647,0.142767,0.136059,2.036509,0.175378,0.154685,2.429284,0.690466,4.552602
1,2.099730,0.222361,1.712852,0.124973,0.155112,1.701938,0.175541,0.186779,1.868420,0.064085,4.501054
2,2.005999,0.220507,1.674889,0.184348,0.176232,1.626914,0.311470,0.267626,1.685908,0.074281,4.344425
3,2.000831,0.287308,1.509101,0.353601,0.339330,1.566697,0.345712,0.318981,1.595858,0.091740,4.144765
4,2.010161,0.367313,1.532280,0.336547,0.335799,1.600990,0.330918,0.360080,1.470810,0.168835,4.042826
5,1.937326,0.368971,1.601442,0.349219,0.348634,1.392592,0.432451,0.423793,1.409294,0.159644,4.003160
6,1.963953,0.416780,1.580419,0.318599,0.290158,1.394937,0.338585,0.317585,1.330133,0.294554,3.981772
7,1.894720,0.444418,1.356749,0.520507,0.484492,1.310969,0.486615,0.457881,1.256924,0.302248,3.959974
8,1.874349,0.460469,1.370454,0.491553,0.452376,1.264197,0.479523,0.442374,1.214094,0.331973,3.946757
9,1.886399,0.507471,1.469526,0.434418,0.436682,1.333394,0.470576,0.481843,1.150004,0.429242,3.930015
10,1.774853,0.523087,1.273837,0.517785,0.514195,1.247411,0.472547,0.471453,1.117224,0.331790,3.921966
11,1.738679,0.524066,1.323697,0.566006,0.547909,1.221175,0.564493,0.570960,1.047856,0.374396,3.913067
12,1.750514,0.566839,1.356897,0.589637,0.556396,1.247485,0.593503,0.574666,1.002825,0.447893,3.893743
13,1.684798,0.578507,1.323265,0.537316,0.504432,1.197079,0.594762,0.574303,0.960282,0.421518,3.873016
14,1.748842,0.587789,1.209125,0.618809,0.585358,1.218378,0.577101,0.574726,0.971615,0.488599,3.863479
15,1.675808,0.631277,1.351703,0.617939,0.587658,1.257710,0.600699,0.597320,0.896114,0.495756,3.830885
16,1.675497,0.627742,1.347848,0.563068,0.540284,1.301819,0.539483,0.537811,0.868328,0.533226,3.805890
17,1.671800,0.630141,1.375393,0.598914,0.583916,1.267252,0.598026,0.598892,0.871106,0.528708,3.777275
18,1.615566,0.661976,1.389134,0.623458,0.598377,1.318578,0.639459,0.634707,0.809305,0.538618,3.753665
19,1.714145,0.668961,1.344952,0.665818,0.660244,1.389437,0.615383,0.605547,0.784863,0.694552,3.736405
20,1.661026,0.677858,1.471978,0.633624,0.608511,1.516091,0.588547,0.573845,0.764722,0.654674,3.725646
21,1.706083,0.679505,1.394142,0.657427,0.649035,1.420193,0.643589,0.634619,0.764345,0.713618,3.708436
22,1.640273,0.704854,1.416269,0.623657,0.614180,1.438634,0.616213,0.614361,0.719309,0.688693,3.700087
23,1.656944,0.707206,1.554776,0.628725,0.614455,1.533970,0.647037,0.638141,0.704102,0.729677,3.691009
24,1.730497,0.714776,1.577961,0.620484,0.607309,1.529070,0.616366,0.609868,0.684509,0.847169,3.682524
25,1.736629,0.720016,1.560995,0.666174,0.660779,1.600204,0.639360,0.626610,0.662844,0.882794,3.675500
26,1.747987,0.720921,1.551985,0.675421,0.675989,1.527177,0.662242,0.651920,0.652368,0.911126,3.667179
27,1.722737,0.735018,1.569551,0.646181,0.645026,1.605513,0.624799,0.616848,0.635479,0.901188,3.663078
28,1.703723,0.740360,1.660767,0.655284,0.645331,1.729716,0.635219,0.623854,0.623474,0.892543,3.662149
29,1.745905,0.744487,1.729800,0.658660,0.652709,1.715418,0.644990,0.637296,0.607105,0.966686,3.654516
30,1.725268,0.761901,1.700818,0.644522,0.634014,1.758796,0.620743,0.609257,0.586162,0.967242,3.653131
31,1.709400,0.764936,1.731820,0.657936,0.655620,1.718676,0.662909,0.653271,0.575869,0.960439,3.651798
32,1.760656,0.760076,1.778894,0.655009,0.647097,1.767320,0.634169,0.624806,0.574023,1.027553,3.645904
33,1.773884,0.770630,1.779588,0.650651,0.653099,1.781804,0.643999,0.633504,0.558149,1.064205,3.643706
34,1.734939,0.782554,1.807631,0.664804,0.664327,1.787186,0.644854,0.635309,0.553413,1.021604,3.642427
35,1.773968,0.768991,1.818679,0.656019,0.655293,1.768720,0.645935,0.634078,0.554533,1.069159,3.641081
36,1.767849,0.774949,1.839497,0.654873,0.655480,1.829452,0.635378,0.624693,0.549960,1.067375,3.639889
37,1.778331,0.779327,1.843900,0.656611,0.656576,1.831723,0.639420,0.627731,0.550255,1.080269,3.638614
38,1.749160,0.782096,1.845813,0.656456,0.656345,1.824647,0.641338,0.629241,0.536244,1.061330,3.638525
39,1.757868,0.784387,1.848687,0.655648,0.655597,1.824840,0.640198,0.628436,0.534856,1.073965,3.638409
