epoch,train_loss,train_wf1,dev_loss,dev_wf1,dev_uf1,test_loss,test_wf1,test_uf1,ce,fc,cl
0,3.195812,0.175906,1.960188,0.022678,0.033655,1.863092,0.057384,0.051883,2.596808,0.633624,4.605203
1,2.162907,0.149600,1.762753,0.044669,0.046485,1.808098,0.023650,0.034401,1.939537,0.051564,4.552965
2,2.067706,0.202596,1.669603,0.096509,0.065621,1.756173,0.089361,0.063405,1.787841,0.021153,4.382372
3,2.027455,0.262765,1.499148,0.251448,0.265934,1.572294,0.239452,0.256103,1.655605,0.048791,4.160216
4,2.033718,0.354694,1.611271,0.279326,0.276052,1.664167,0.298891,0.309277,1.493403,0.164982,4.083296
5,2.036054,0.380285,1.509007,0.374335,0.331741,1.491194,0.387888,0.394591,1.396836,0.292263,4.054079
6,1.959216,0.417619,1.576766,0.371541,0.302395,1.812911,0.281276,0.262609,1.313845,0.302155,4.036474
7,1.959714,0.414993,1.635459,0.456632,0.418896,1.432833,0.511483,0.486885,1.364804,0.239873,4.030111
8,1.985944,0.467569,1.474659,0.452454,0.432250,1.452694,0.437654,0.415365,1.249968,0.416205,4.030124
9,1.859577,0.503018,1.488957,0.487295,0.445763,1.288964,0.557171,0.534719,1.177565,0.350116,4.019197
10,1.824834,0.515391,1.696608,0.466328,0.498738,1.455835,0.464169,0.476695,1.130376,0.368435,3.997096
11,1.816474,0.528886,1.495914,0.490701,0.481169,1.300247,0.537780,0.522633,1.094844,0.404047,3.983918
12,1.771586,0.540804,1.462066,0.557969,0.523064,1.521180,0.482126,0.446966,1.035730,0.422486,3.978677
13,1.779439,0.569993,1.778793,0.445728,0.416918,1.525190,0.477202,0.469610,1.060171,0.402968,3.968943
14,1.782294,0.564089,1.738333,0.465343,0.468609,1.479970,0.509261,0.503144,1.028199,0.446608,3.968097
15,1.725871,0.596662,1.501351,0.505867,0.502207,1.383829,0.495842,0.475669,0.970377,0.449027,3.962728
16,1.668562,0.595527,1.510979,0.571765,0.567178,1.438775,0.549235,0.532832,0.912287,0.451165,3.953428
17,1.760624,0.615183,1.610376,0.554661,0.542421,1.426487,0.585770,0.567247,0.907471,0.573163,3.946223
18,1.678159,0.639740,1.473348,0.574377,0.580190,1.365754,0.589159,0.576777,0.877224,0.508140,3.944226
19,1.746162,0.621438,1.569667,0.554026,0.576726,1.377584,0.580045,0.578483,0.857278,0.618617,3.939898
20,1.613224,0.656953,1.663606,0.561251,0.582239,1.464598,0.576868,0.573898,0.829361,0.488591,3.929901
21,1.712491,0.662506,1.616988,0.541449,0.528150,1.471068,0.590441,0.570910,0.799289,0.651157,3.922757
22,1.686272,0.664234,1.597847,0.572353,0.590254,1.472737,0.572159,0.570370,0.788748,0.632205,3.917600
23,1.659177,0.661613,1.511889,0.589612,0.583044,1.342824,0.641276,0.616030,0.794355,0.592274,3.910039
24,1.696068,0.662580,1.603714,0.576817,0.591974,1.460385,0.599876,0.590508,0.780919,0.655631,3.906434
25,1.723449,0.688390,1.719114,0.592354,0.598571,1.474542,0.616943,0.600377,0.756631,0.720703,3.902560
26,1.684830,0.687863,1.604273,0.594238,0.600349,1.504113,0.580673,0.568841,0.733963,0.701137,3.899570
27,1.647824,0.712287,1.774855,0.614189,0.634839,1.572140,0.627792,0.614248,0.692560,0.707510,3.892560
28,1.737010,0.713743,1.837099,0.577475,0.590907,1.676358,0.565691,0.555535,0.684938,0.829259,3.886643
29,1.700282,0.711412,1.829483,0.591713,0.612915,1.606834,0.623410,0.613218,0.670759,0.801629,3.882190
30,1.739830,0.725564,1.824799,0.600990,0.617275,1.676339,0.589727,0.582628,0.649676,0.877827,3.878924
31,1.731803,0.729670,1.829634,0.613443,0.631054,1.621248,0.627082,0.616480,0.647851,0.870605,3.874684
32,1.748962,0.737036,1.892372,0.598575,0.606802,1.704208,0.608440,0.594554,0.630304,0.914189,3.873069
33,1.735722,0.746748,1.901637,0.610081,0.627180,1.739441,0.611425,0.603081,0.619040,0.912069,3.870270
34,1.752253,0.735763,1.953584,0.606317,0.628278,1.743226,0.617152,0.605408,0.624064,0.926677,3.868481
35,1.772696,0.740853,1.922992,0.608809,0.626951,1.727217,0.616722,0.604914,0.614439,0.964529,3.866345
36,1.760571,0.744375,1.920800,0.609017,0.627566,1.722926,0.620611,0.609790,0.607849,0.957821,3.864658
37,1.779030,0.742294,1.920489,0.611781,0.632564,1.725884,0.621036,0.610553,0.605845,0.983415,3.864529
38,1.750146,0.750355,1.923128,0.613824,0.634024,1.729389,0.618987,0.608466,0.604667,0.948760,3.864706
39,1.754971,0.741551,1.923052,0.615994,0.637209,1.730457,0.618326,0.607630,0.599957,0.960726,3.864327
