epoch,train_loss,train_wf1,dev_loss,dev_wf1,dev_uf1,test_loss,test_wf1,test_uf1,ce,fc,cl
0,3.049260,0.231096,1.984159,0.047132,0.062403,1.837211,0.092110,0.093686,2.243605,0.893220,4.553904
1,2.138596,0.194309,1.600919,0.219676,0.221375,1.792985,0.121970,0.117733,1.871066,0.107916,4.529917
2,2.034710,0.252509,1.659497,0.248497,0.248365,1.661591,0.239270,0.230428,1.710257,0.073726,4.424536
3,2.038887,0.299595,1.422850,0.345022,0.358552,1.511356,0.384977,0.376997,1.624846,0.094561,4.229918
4,2.046698,0.351589,1.523094,0.273156,0.290731,1.707604,0.249378,0.250786,1.516705,0.149512,4.103838
5,1.977470,0.409360,1.421507,0.320645,0.339910,1.651593,0.242970,0.243672,1.409257,0.203869,4.051177
6,1.969501,0.432057,1.423894,0.472075,0.493277,1.515269,0.425825,0.437200,1.378659,0.235316,4.025890
7,1.951377,0.441079,1.440098,0.392244,0.389302,1.473813,0.403005,0.388824,1.329459,0.276898,4.003996
8,1.929321,0.430217,1.525222,0.406491,0.433447,1.744490,0.262393,0.284310,1.285830,0.305176,3.993500
9,1.926895,0.470157,1.561176,0.427889,0.421012,1.369230,0.534733,0.516634,1.289954,0.297960,3.985738
10,1.931469,0.457463,1.409081,0.512156,0.497437,1.426225,0.493776,0.480869,1.222355,0.388344,3.984384
11,1.811197,0.523001,1.415088,0.501454,0.501142,1.309448,0.547732,0.538472,1.172273,0.302373,3.970265
12,1.776780,0.542816,1.449785,0.548020,0.506170,1.294334,0.551901,0.528439,1.115936,0.331971,3.952666
13,1.764673,0.564276,1.523169,0.545007,0.534742,1.272533,0.547095,0.552060,1.068082,0.378900,3.934711
14,1.926878,0.539162,1.527602,0.528867,0.502403,1.267368,0.592736,0.570104,1.075524,0.573465,3.925818
15,1.742741,0.579851,1.373560,0.544185,0.533060,1.333898,0.540696,0.530457,1.007538,0.429274,3.917834
16,1.747968,0.592609,1.494537,0.582802,0.566386,1.258336,0.620630,0.605896,0.967879,0.486408,3.909627
17,1.716216,0.625816,1.610905,0.486059,0.498284,1.408307,0.518932,0.531076,0.930493,0.494933,3.897772
18,1.736691,0.624483,1.568099,0.574152,0.543114,1.433106,0.557201,0.552691,0.890501,0.571880,3.886867
19,1.716974,0.641370,1.594220,0.573022,0.554260,1.327840,0.590779,0.589204,0.871909,0.571441,3.879129
20,1.725844,0.667327,1.685939,0.549305,0.544449,1.457870,0.534107,0.536760,0.839725,0.624821,3.862616
21,1.728847,0.640927,1.536301,0.612322,0.593721,1.339667,0.634615,0.623677,0.829958,0.641549,3.856500
22,1.668396,0.672067,1.557634,0.595300,0.562782,1.416167,0.587819,0.575629,0.782683,0.627663,3.835823
23,1.642098,0.687777,1.640095,0.604463,0.592056,1.363246,0.625508,0.618795,0.760725,0.624606,3.816875
24,1.694320,0.699701,1.701019,0.587152,0.577864,1.439683,0.617660,0.617066,0.727775,0.733383,3.798389
25,1.736579,0.698448,1.778223,0.610669,0.595380,1.562111,0.619076,0.615482,0.707957,0.813063,3.781710
26,1.718897,0.723451,1.872811,0.614436,0.585660,1.447319,0.664318,0.654049,0.684569,0.821752,3.769260
27,1.701194,0.727649,1.771988,0.601248,0.589471,1.537233,0.606322,0.599172,0.666647,0.823026,3.761267
28,1.699225,0.732824,1.830926,0.614098,0.598555,1.517355,0.659401,0.649859,0.657674,0.832717,3.753781
29,1.694553,0.741073,1.912046,0.619400,0.607833,1.600081,0.636936,0.634813,0.620054,0.875547,3.740616
30,1.797643,0.748023,1.944608,0.615526,0.601461,1.667088,0.651284,0.641619,0.610663,1.016906,3.734545
31,1.799821,0.756542,2.015719,0.625064,0.609322,1.633047,0.633652,0.631863,0.607483,1.023787,3.733084
32,1.757574,0.756424,1.991663,0.599862,0.593810,1.694717,0.628971,0.624346,0.602204,0.978255,3.727658
33,1.770392,0.763133,1.970536,0.632560,0.617557,1.611681,0.671517,0.664663,0.579039,1.023738,3.723624
34,1.750452,0.767880,1.981292,0.617837,0.602333,1.685733,0.652471,0.645311,0.574710,1.004813,3.718917
35,1.757386,0.773046,2.006424,0.630485,0.613625,1.675229,0.656790,0.650316,0.561945,1.029717,3.716669
36,1.788373,0.773185,2.045097,0.627170,0.612851,1.696187,0.657976,0.652408,0.555892,1.076343,3.714064
37,1.777073,0.771312,2.052595,0.632045,0.616875,1.689823,0.655409,0.649766,0.553038,1.065837,3.713655
38,1.780178,0.778829,2.055366,0.631958,0.617084,1.695914,0.655711,0.649862,0.544026,1.080996,3.713552
39,1.789428,0.771340,2.055642,0.632758,0.617612,1.698202,0.655142,0.648933,0.554210,1.079831,3.713531
