epoch,train_loss,train_wf1,dev_loss,dev_wf1,dev_uf1,test_loss,test_wf1,test_uf1,ce,fc,cl
0,2.684965,0.176248,1.887511,0.035828,0.042598,1.827071,0.058644,0.052782,2.592883,0.000000,4.604093
1,2.112539,0.147683,1.768538,0.080348,0.072581,1.789293,0.044804,0.050056,1.930611,0.000000,4.548194
2,2.048164,0.200023,1.647937,0.203292,0.158280,1.742935,0.148143,0.123966,1.786055,0.000000,4.368489
3,1.989039,0.260857,1.439394,0.363192,0.342723,1.514111,0.372971,0.359078,1.656422,0.000000,4.157717
4,1.905247,0.355115,1.364984,0.306895,0.303082,1.442147,0.299609,0.305952,1.497151,0.000000,4.080959
5,1.784431,0.400210,1.337907,0.384462,0.324331,1.346357,0.414872,0.390458,1.378727,0.000000,4.057043
6,1.779471,0.383928,1.418727,0.383043,0.318403,1.513946,0.397810,0.380702,1.375276,0.000000,4.041952
7,1.844184,0.368687,1.343490,0.464043,0.474329,1.427825,0.400190,0.410227,1.440645,0.000000,4.035389
8,1.666954,0.424641,1.289263,0.408634,0.383807,1.240378,0.436928,0.418032,1.264263,0.000000,4.026917
9,1.629769,0.466222,1.263491,0.471967,0.484467,1.137099,0.514539,0.502962,1.226861,0.000000,4.029082
10,1.576974,0.452593,1.218544,0.454888,0.438722,1.147386,0.500419,0.491615,1.176863,0.000000,4.001119
11,1.521646,0.503657,1.167188,0.502166,0.481292,1.023882,0.575975,0.553387,1.123094,0.000000,3.985526
12,1.438560,0.551003,1.136905,0.547058,0.566232,1.024177,0.588920,0.582557,1.041251,0.000000,3.973090
13,1.423375,0.556446,1.160997,0.531224,0.549349,1.072315,0.555826,0.540168,1.027683,0.000000,3.956919
14,1.394938,0.564084,1.191186,0.497701,0.487253,1.015808,0.546507,0.526053,0.999955,0.000000,3.949832
15,1.345576,0.573189,1.081767,0.556177,0.555264,1.012345,0.605378,0.581802,0.951635,0.000000,3.939410
16,1.279108,0.612387,1.096226,0.533240,0.514294,1.060598,0.562787,0.534396,0.886452,0.000000,3.926556
17,1.328294,0.604737,1.099267,0.550806,0.545670,1.013312,0.596309,0.576952,0.936601,0.000000,3.916933
18,1.270497,0.629702,1.046735,0.586685,0.606286,0.943021,0.631696,0.617936,0.879945,0.000000,3.905515
19,1.236034,0.632056,1.206124,0.508068,0.498942,1.035434,0.581330,0.559422,0.846427,0.000000,3.896068
20,1.253876,0.635458,1.116392,0.545465,0.568149,0.998759,0.605056,0.597545,0.865692,0.000000,3.881844
21,1.225780,0.621062,0.978253,0.588908,0.594149,0.969841,0.610223,0.593335,0.839075,0.000000,3.867052
22,1.190969,0.654321,1.030590,0.574472,0.576312,0.961705,0.620510,0.608288,0.805165,0.000000,3.858036
23,1.188848,0.666199,1.035978,0.568054,0.556353,1.023356,0.615735,0.575178,0.805391,0.000000,3.834565
24,1.174770,0.650059,1.022663,0.583255,0.601150,1.088647,0.600397,0.585174,0.793218,0.000000,3.815528
25,1.148823,0.664429,1.008825,0.586012,0.599105,0.887754,0.656395,0.633281,0.768905,0.000000,3.799180
26,1.116689,0.689851,0.978572,0.600505,0.623935,0.984945,0.627880,0.611991,0.738091,0.000000,3.785977
27,1.085553,0.698584,0.967415,0.607086,0.629673,0.925578,0.651048,0.634151,0.708736,0.000000,3.768176
28,1.074980,0.699117,1.043030,0.593322,0.616662,0.991129,0.633155,0.615500,0.699069,0.000000,3.759109
29,1.072440,0.704967,0.961105,0.595252,0.609296,0.964702,0.634830,0.615462,0.697079,0.000000,3.753607
30,1.044029,0.720570,0.953146,0.619207,0.640841,0.955490,0.641599,0.629675,0.669591,0.000000,3.744383
31,1.036912,0.718696,0.981637,0.609235,0.623641,0.927851,0.655464,0.639270,0.662953,0.000000,3.739588
32,1.024037,0.724730,0.979324,0.604914,0.621678,1.010233,0.630411,0.613776,0.650188,0.000000,3.738496
33,1.015281,0.728871,0.987637,0.602267,0.617957,0.964611,0.647159,0.628308,0.641824,0.000000,3.734562
34,1.015214,0.732698,0.987825,0.608048,0.624776,0.964974,0.646628,0.630090,0.642082,0.000000,3.731326
35,1.005711,0.729607,0.980226,0.599108,0.614145,0.988254,0.639798,0.621761,0.632834,0.000000,3.728767
36,1.010705,0.729484,0.977236,0.607708,0.624189,0.977427,0.640506,0.622934,0.637934,0.000000,3.727709
37,0.995880,0.739351,0.975258,0.610101,0.628207,0.970981,0.648998,0.632788,0.623131,0.000000,3.727488
38,0.993930,0.735273,0.976507,0.608115,0.627732,0.964367,0.651137,0.634125,0.621198,0.000000,3.727313
39,0.993916,0.735349,0.975142,0.608115,0.627732,0.963573,0.652511,0.635180,0.621187,0.000000,3.727286
