epoch,train_loss,train_wf1,dev_loss,dev_wf1,dev_uf1,test_loss,test_wf1,test_uf1,ce,fc,cl
0,2.808856,0.181869,1.907123,0.042183,0.046070,1.951994,0.019886,0.031622,2.717168,0.000000,4.584412
1,2.002204,0.226529,1.652358,0.176248,0.176691,1.689620,0.177319,0.170200,1.820463,0.000000,4.543531
2,1.961887,0.232071,1.576011,0.182123,0.169402,1.661685,0.191147,0.173114,1.697393,0.000000,4.408241
3,1.964144,0.279779,1.609556,0.187416,0.179222,1.658426,0.211916,0.197481,1.626684,0.000000,4.218256
4,2.087436,0.277848,1.503053,0.278539,0.297618,1.639346,0.220979,0.198850,1.679036,0.000000,4.083998
5,1.898832,0.365319,1.407517,0.299330,0.329574,1.615961,0.254935,0.253811,1.495545,0.000000,4.032867
6,1.813728,0.377853,1.319624,0.381723,0.390482,1.317900,0.426254,0.433788,1.412095,0.000000,4.016333
7,1.764558,0.405998,1.309200,0.374660,0.387477,1.298132,0.435138,0.426205,1.363501,0.000000,4.010566
