epoch,train_loss,train_wf1,dev_loss,dev_wf1,dev_uf1,test_loss,test_wf1,test_uf1
0,1.864145,0.193989,1.791827,0.110724,0.102068,1.782776,0.155539,0.135770
1,1.765893,0.192630,1.637661,0.143152,0.123486,1.659928,0.147897,0.125404
2,1.647138,0.267360,1.488803,0.298461,0.261066,1.509595,0.334009,0.316031
3,1.523770,0.329708,1.441298,0.323353,0.278558,1.411402,0.354751,0.327639
4,1.419779,0.404666,1.368585,0.436801,0.390602,1.357517,0.407438,0.384933
5,1.368696,0.413658,1.351002,0.445261,0.396472,1.320462,0.447236,0.419828
6,0.949132,0.468638,0.992677,0.432881,0.405856,0.986905,0.451197,0.452050
7,0.641732,0.515305,0.668883,0.490340,0.457175,0.654103,0.510594,0.496815
8,0.403137,0.539600,0.451678,0.468360,0.429303,0.427806,0.517169,0.492201
9,0.233881,0.550398,0.264164,0.476488,0.466527,0.245567,0.499300,0.497601
10,0.095566,0.521917,0.112036,0.467834,0.457290,0.104319,0.468094,0.471322
11,0.089181,0.569830,0.105706,0.516921,0.497457,0.098756,0.532833,0.521709
12,0.085252,0.583779,0.105383,0.510665,0.497088,0.098549,0.511967,0.507873
13,0.081637,0.573747,0.104976,0.498851,0.483833,0.096609,0.516282,0.512944
14,0.080365,0.594708,0.104979,0.522832,0.509063,0.095910,0.539007,0.529941
15,0.078974,0.585110,0.103270,0.510641,0.499307,0.096664,0.510773,0.503681
16,0.077398,0.601623,0.101604,0.526047,0.511950,0.098031,0.497665,0.493830
17,0.074987,0.602694,0.105548,0.516779,0.501288,0.093635,0.550115,0.538491
18,0.073825,0.611704,0.104083,0.533404,0.520672,0.097667,0.520898,0.514660
19,0.072339,0.613133,0.103630,0.508255,0.495740,0.095172,0.509025,0.503997
20,0.071286,0.612613,0.105817,0.532008,0.517210,0.100777,0.538453,0.524842
21,0.067745,0.642225,0.108047,0.493323,0.489021,0.104735,0.473947,0.476635
22,0.067535,0.624281,0.104526,0.487854,0.484362,0.108203,0.458427,0.462937
23,0.065712,0.620559,0.099637,0.543298,0.526155,0.104199,0.502575,0.495662
24,0.063015,0.637877,0.115521,0.472351,0.464217,0.098132,0.510171,0.507045
