epoch,train_loss,train_wf1,dev_loss,dev_wf1,dev_uf1,test_loss,test_wf1,test_uf1
0,1.790812,0.215230,1.726100,0.249655,0.195773,1.728081,0.186058,0.141573
1,1.661006,0.265958,1.573984,0.318961,0.258994,1.556128,0.328991,0.303150
2,1.516186,0.349259,1.444220,0.370951,0.320453,1.479012,0.352296,0.320694
3,1.388432,0.427093,1.453703,0.399148,0.387067,1.384460,0.417221,0.382954
4,1.299721,0.486913,1.386901,0.425132,0.406338,1.318422,0.453720,0.413061
5,1.237325,0.509163,1.339468,0.428816,0.412940,1.344670,0.440822,0.412265
6,0.862745,0.523372,0.965515,0.456330,0.429979,0.927106,0.486363,0.442678
7,0.576305,0.556570,0.678744,0.468258,0.450372,0.630356,0.518283,0.486253
8,0.367696,0.571604,0.478433,0.479090,0.453534,0.490933,0.459022,0.426979
9,0.215401,0.561269,0.261952,0.515396,0.489928,0.246544,0.533940,0.509447
10,0.087066,0.576928,0.107471,0.471547,0.474409,0.109154,0.472470,0.467076
11,0.080257,0.556641,0.104727,0.515410,0.512735,0.103945,0.516147,0.502044
12,0.076731,0.598238,0.101793,0.487469,0.484120,0.101281,0.509221,0.498584
13,0.073561,0.588606,0.104425,0.527055,0.517644,0.109056,0.514081,0.498849
14,0.070345,0.604992,0.104676,0.514612,0.509656,0.108288,0.499008,0.485397
15,0.070338,0.604985,0.105975,0.516829,0.511697,0.108221,0.515738,0.499524
16,0.068525,0.620543,0.098297,0.517699,0.515738,0.102745,0.502894,0.492892
17,0.064248,0.630869,0.103814,0.522593,0.517532,0.111213,0.505864,0.489322
18,0.063384,0.619495,0.109313,0.521504,0.513308,0.118045,0.514627,0.495394
19,0.062776,0.642651,0.105571,0.532019,0.525816,0.116697,0.501126,0.487389
20,0.059488,0.646319,0.102861,0.505005,0.500934,0.102245,0.510850,0.500978
21,0.059684,0.637903,0.110985,0.509976,0.507149,0.124351,0.491042,0.476059
22,0.057030,0.650681,0.109751,0.535995,0.530601,0.126772,0.500264,0.487380
23,0.058514,0.646204,0.100732,0.531475,0.526651,0.107724,0.510615,0.499894
24,0.055191,0.667737,0.102295,0.538015,0.534706,0.114972,0.496050,0.485347
