epoch,train_loss,train_wf1,dev_loss,dev_wf1,dev_uf1,test_loss,test_wf1,test_uf1
0,1.833817,0.206192,1.734329,0.160258,0.147560,1.716889,0.184964,0.160448
1,1.703483,0.263550,1.573318,0.245815,0.211688,1.592877,0.285555,0.249158
2,1.566692,0.318430,1.528074,0.269138,0.240241,1.620744,0.298548,0.272317
3,1.463791,0.380241,1.357757,0.438083,0.415104,1.388270,0.385605,0.374516
4,1.362213,0.445017,1.253548,0.502011,0.454804,1.318280,0.453585,0.425276
5,1.257904,0.481806,1.234322,0.482690,0.446775,1.290015,0.465267,0.445838
6,0.946179,0.479539,0.896377,0.508748,0.480324,0.891837,0.507422,0.492198
7,0.606456,0.529206,0.651046,0.514418,0.496937,0.647949,0.481766,0.474303
8,0.387757,0.547519,0.399102,0.544952,0.511506,0.439629,0.510409,0.492664
9,0.218395,0.560257,0.258240,0.506414,0.489555,0.274418,0.480041,0.467830
10,0.090573,0.549550,0.103303,0.514682,0.491237,0.109068,0.470975,0.469454
11,0.083416,0.578914,0.102900,0.493453,0.481060,0.111788,0.470977,0.468837
12,0.082007,0.576063,0.100572,0.509469,0.497994,0.108241,0.486682,0.483578
13,0.078264,0.589534,0.100532,0.532049,0.519164,0.114092,0.477938,0.472651
14,0.075839,0.604044,0.100827,0.534228,0.521777,0.113284,0.493329,0.487153
15,0.072788,0.610995,0.099442,0.537604,0.522911,0.110435,0.495909,0.487112
16,0.071492,0.608207,0.101900,0.538955,0.527986,0.117102,0.488995,0.480797
17,0.071435,0.615814,0.101004,0.552228,0.538720,0.118745,0.499244,0.488137
18,0.069511,0.618524,0.102075,0.534602,0.523990,0.111621,0.501235,0.494448
19,0.063937,0.637743,0.104239,0.513077,0.507193,0.112062,0.471337,0.475501
20,0.063024,0.632343,0.100631,0.550740,0.534801,0.110599,0.510257,0.499178
21,0.065646,0.637229,0.103351,0.518705,0.513637,0.115583,0.491762,0.481055
22,0.060995,0.653688,0.110045,0.513196,0.513854,0.121933,0.470068,0.467284
23,0.063653,0.638195,0.102979,0.547619,0.538565,0.115636,0.511037,0.500827
24,0.058981,0.652156,0.111698,0.519586,0.509923,0.117280,0.485250,0.489198
