epoch,train_loss,train_wf1,dev_loss,dev_wf1,dev_uf1,test_loss,test_wf1,test_uf1,ce,fc,cl
0,3.195632,0.175907,1.960310,0.022678,0.033655,1.863004,0.057384,0.051883,2.596640,0.633609,4.605217
1,2.162568,0.150083,1.762058,0.046625,0.047881,1.808465,0.019964,0.031746,1.939241,0.051504,4.553075
2,2.067298,0.202479,1.666291,0.104119,0.072317,1.752359,0.089361,0.063405,1.787443,0.021179,4.381874
3,2.029724,0.259957,1.502866,0.250965,0.265309,1.580107,0.235130,0.251122,1.657204,0.049677,4.159724
4,2.021403,0.357497,1.572138,0.315591,0.313683,1.555830,0.301092,0.307407,1.476913,0.170300,4.082498
5,2.019921,0.391578,1.569850,0.375709,0.351054,1.469036,0.397689,0.381633,1.393572,0.276259,4.053415
6,1.987979,0.422318,1.563191,0.413545,0.377809,1.716224,0.323504,0.292463,1.314410,0.337398,4.036504
7,1.926716,0.433970,1.647666,0.422439,0.402246,1.455136,0.460870,0.445337,1.302841,0.276759,4.024677
8,1.934633,0.476733,1.517604,0.460946,0.444168,1.430099,0.452052,0.429809,1.208599,0.405035,4.020061
9,1.827309,0.514250,1.531735,0.504818,0.506614,1.320519,0.541100,0.535958,1.142160,0.355566,4.006964
10,1.818059,0.515752,1.714685,0.437410,0.461477,1.465660,0.430627,0.437772,1.116558,0.378070,3.990453
11,1.774150,0.540182,1.567737,0.459613,0.460865,1.388274,0.505658,0.496521,1.057550,0.397479,3.986163
12,1.712286,0.574850,1.501600,0.569301,0.564148,1.405713,0.573440,0.564644,0.981406,0.416154,3.979573
13,1.827250,0.575359,1.641916,0.496701,0.483379,1.384596,0.559473,0.539519,1.028860,0.502491,3.963973
14,1.658748,0.597209,1.539356,0.551825,0.572826,1.344968,0.548437,0.549688,0.941416,0.401501,3.961314
15,1.682152,0.610006,1.437295,0.546382,0.536012,1.260162,0.581867,0.564949,0.918575,0.459806,3.957319
16,1.639598,0.625395,1.508348,0.563506,0.578278,1.357745,0.532073,0.533406,0.882592,0.452766,3.947933
17,1.678172,0.618695,1.571833,0.549889,0.545440,1.393861,0.588463,0.579503,0.892546,0.489460,3.940583
18,1.674453,0.634029,1.549926,0.538429,0.548799,1.449716,0.539607,0.532561,0.862943,0.522080,3.938466
19,1.682426,0.633534,1.533862,0.534860,0.537498,1.356204,0.586540,0.572242,0.855975,0.541215,3.934786
20,1.605297,0.661975,1.504856,0.563381,0.577295,1.375543,0.571299,0.568367,0.803342,0.511608,3.926689
21,1.626427,0.660477,1.674169,0.553116,0.540356,1.425860,0.602055,0.581810,0.787007,0.559633,3.917142
22,1.681469,0.674076,1.616166,0.577708,0.581967,1.463562,0.592345,0.586473,0.776614,0.641668,3.915211
23,1.619625,0.681920,1.592109,0.578467,0.562387,1.353218,0.637894,0.608423,0.756255,0.590928,3.906272
24,1.694299,0.673902,1.607471,0.585340,0.593538,1.408286,0.623630,0.617413,0.766353,0.672096,3.902698
25,1.650966,0.693913,1.781478,0.569165,0.582212,1.515752,0.611119,0.601846,0.729224,0.665187,3.895922
26,1.674138,0.698641,1.760787,0.577340,0.590054,1.520225,0.615936,0.607544,0.718020,0.708732,3.891316
27,1.655592,0.716494,1.823245,0.597816,0.616488,1.547782,0.639436,0.630938,0.670543,0.745601,3.885683
28,1.708651,0.719372,1.975966,0.542783,0.561673,1.667622,0.595101,0.587803,0.668345,0.815377,3.880033
29,1.698558,0.720887,1.839813,0.599946,0.603746,1.605497,0.613863,0.605480,0.658672,0.815345,3.876096
30,1.720082,0.730158,1.974628,0.576678,0.589797,1.723890,0.605981,0.597504,0.635580,0.871501,3.873015
31,1.715099,0.735089,1.883195,0.603449,0.611036,1.622896,0.644631,0.635384,0.626330,0.877153,3.870472
32,1.722448,0.751742,1.958097,0.591999,0.597770,1.699727,0.631815,0.625100,0.612686,0.903720,3.867858
33,1.722840,0.746612,1.988777,0.608076,0.623831,1.727401,0.639425,0.631421,0.603099,0.916544,3.865062
34,1.734150,0.747576,2.017296,0.598455,0.611487,1.737020,0.635068,0.627225,0.601473,0.933008,3.862711
35,1.747694,0.749761,2.018260,0.594998,0.606483,1.733758,0.636943,0.627132,0.591110,0.963161,3.860555
36,1.748066,0.748375,1.997853,0.604800,0.618086,1.716300,0.642519,0.634755,0.591661,0.963077,3.859431
37,1.758245,0.754848,1.978605,0.614110,0.631697,1.711629,0.640833,0.633647,0.588149,0.980254,3.858930
38,1.732223,0.752748,1.987676,0.611927,0.627534,1.720948,0.640035,0.633334,0.588221,0.947650,3.858819
39,1.737615,0.753901,1.989686,0.608650,0.623272,1.723188,0.639411,0.632597,0.580983,0.963480,3.858482
