epoch,train_loss,train_wf1,dev_loss,dev_wf1,dev_uf1,test_loss,test_wf1,test_uf1,ce,fc,cl
0,3.195878,0.175729,1.959527,0.022678,0.033655,1.862543,0.057384,0.051883,2.596887,0.633610,4.605145
1,2.162526,0.149431,1.762934,0.048189,0.048810,1.806150,0.021190,0.032616,1.939145,0.051605,4.552427
2,2.069699,0.200416,1.688896,0.096509,0.065621,1.775230,0.089361,0.063405,1.789791,0.021295,4.381189
3,2.030619,0.263076,1.483420,0.262013,0.277335,1.564956,0.249092,0.265608,1.659575,0.047949,4.158552
4,2.027631,0.347328,1.571631,0.309343,0.299474,1.601884,0.304816,0.318133,1.489170,0.162773,4.082420
